time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.013,416,3147,1108,2516,1.0,30.0,19.0,-120.36132049560547,-23.559568405151367,-70.25146484375,-2.388916015625,1.2711181640625,0.130859375
0.014,442,3147,1131,2599,1.0,30.0,19.0,-116.51610565185547,-36.865234375,-83.12987518310547,-3.010009765625,0.2550048828125,0.23583984375
0.016,361,3147,1191,2612,5.0,29.0,18.0,-65.24658203125,-41.198726654052734,-89.23339080810547,-3.0526123046875,-0.3951416015625,0.148681640625
0.032,348,3147,1175,2552,5.0,29.0,18.0,10.803221702575684,-39.4287109375,-72.3876953125,-2.3453369140625,-0.26123046875,0.0167236328125
0.051,354,3147,1169,2519,5.0,29.0,18.0,71.10595703125,-25.634763717651367,-50.537105560302734,-1.3074951171875,0.3013916015625,-0.0240478515625
0.053,356,3147,1182,2474,5.0,29.0,18.0,83.74022674560547,-4.57763671875,-40.588375091552734,-0.881103515625,0.949951171875,0.1778564453125
0.062,344,3147,1185,2180,5.0,29.0,18.0,44.799800872802734,15.624999046325684,-38.57421875,-1.23974609375,1.1400146484375,0.3311767578125
0.068,354,3147,1118,1952,5.0,29.0,18.0,-4.94384765625,29.418943405151367,-36.68212890625,-1.765380859375,0.7276611328125,0.2462158203125
0.076,356,3147,1091,1739,5.0,29.0,18.0,-18.9208984375,29.052732467651367,-30.700681686401367,-1.9534912109375,0.36083984375,0.1656494140625
0.095,348,3147,1056,1441,5.0,29.0,18.0,2.44140625,18.24951171875,-20.446775436401367,-1.805908203125,0.355224609375,0.1785888671875
0.112,330,3147,1078,1129,5.0,29.0,18.0,25.085447311401367,10.498045921325684,-7.080077648162842,-1.5172119140625,0.4981689453125,0.19287109375
0.113,346,3147,1032,844,5.0,29.0,18.0,25.146482467651367,11.901854515075684,9.3994140625,-1.2044677734375,0.491943359375,0.1407470703125
0.120,334,3147,1029,424,8.0,30.0,19.0,8.4228515625,19.53125,27.709959030151367,-0.9481201171875,0.2322998046875,0.0235595703125
0.139,327,3147,1029,331,8.0,30.0,19.0,-5.310058116912842,26.489255905151367,42.663570404052734,-0.7412109375,-0.0574951171875,-0.0682373046875
0.189,331,2787,1018,338,8.0,30.0,19.0,-5.737304210662842,26.855466842651367,46.752925872802734,-0.5374755859375,-0.1966552734375,-0.033935546875
0.189,327,2261,1003,332,8.0,30.0,19.0,4.08935546875,22.583005905151367,36.56005859375,-0.347412109375,-0.133544921875,0.07470703125
0.189,347,1954,960,336,8.0,30.0,19.0,17.76123046875,23.254392623901367,17.63916015625,-0.2127685546875,0.03125,0.09130859375
0.189,347,1914,963,327,8.0,30.0,19.0,24.291990280151367,31.066892623901367,-0.9155272841453552,-0.228759765625,0.123046875,0.0872802734375
0.189,346,1669,971,324,8.0,30.0,19.0,20.01953125,36.0107421875,-10.681151390075684,-0.3819580078125,0.2049560546875,0.109130859375
0.189,348,1504,975,323,8.0,30.0,19.0,14.892577171325684,34.912109375,-9.70458984375,-0.5126953125,0.3448486328125,0.0263671875
0.215,345,1393,937,330,8.0,30.0,19.0,14.892577171325684,34.912109375,-9.70458984375,-0.5836181640625,0.447021484375,-0.11376953125
0.218,323,1351,906,322,6.0,32.0,21.0,4.33349609375,26.672361373901367,3.845214605331421,-0.6668701171875,0.485107421875,-0.2027587890625
0.221,318,1209,871,328,6.0,32.0,21.0,6.530761241912842,15.991209983825684,13.061522483825684,-0.751953125,0.4971923828125,-0.2054443359375
0.229,318,1004,894,323,6.0,32.0,21.0,6.286620616912842,5.065917491912842,21.545408248901367,-0.8154296875,0.4556884765625,-0.15966796875
0.237,322,816,910,324,6.0,32.0,21.0,6.286620616912842,5.065917491912842,21.545408248901367,-0.8692626953125,0.365234375,-0.117919921875
0.258,354,707,883,318,6.0,32.0,21.0,-14.221190452575684,-5.126952648162842,23.559568405151367,-0.9007568359375,0.304443359375,-0.0692138671875
0.260,332,625,883,316,6.0,32.0,21.0,-17.51708984375,-9.70458984375,20.935056686401367,-0.9013671875,0.290771484375,0.0018310546875
0.267,316,574,869,324,6.0,32.0,21.0,-17.51708984375,-9.70458984375,20.935056686401367,-0.88671875,0.3055419921875,0.0831298828125
0.287,318,586,826,319,6.0,32.0,21.0,-2.990722417831421,-19.47021484375,23.254392623901367,-0.864013671875,0.330078125,0.14892578125
0.290,318,571,846,318,6.0,32.0,21.0,-2.990722417831421,-19.47021484375,23.254392623901367,-0.818115234375,0.3304443359375,0.1883544921875
0.297,316,541,859,326,6.0,32.0,21.0,8.6669921875,-22.399900436401367,27.832029342651367,-0.818115234375,0.3304443359375,0.1883544921875
0.318,316,687,830,327,5.0,30.0,19.0,9.8876953125,-23.132322311401367,40.283199310302734,-0.6229248046875,0.162353515625,0.25
0.319,323,1018,794,323,5.0,30.0,19.0,9.8876953125,-23.132322311401367,40.283199310302734,-0.45751953125,0.0245361328125,0.278564453125
