time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.004,327,3147,1424,371,-7.0,34.0,16.0,0.7934569716453552,-23.010251998901367,-10.131834983825684,-0.7318115234375,0.6151123046875,-0.1851806640625
0.022,327,3147,1434,431,-7.0,34.0,16.0,-1.4648436307907104,-22.705076217651367,-9.27734375,-0.7261962890625,0.61083984375,-0.181640625
0.026,328,3147,1428,495,-7.0,34.0,16.0,-3.234863042831421,-22.277830123901367,-9.21630859375,-0.718017578125,0.6119384765625,-0.1783447265625
0.036,328,3147,1393,552,-7.0,34.0,16.0,-3.234863042831421,-22.277830123901367,-9.21630859375,-0.718017578125,0.6119384765625,-0.1783447265625
0.047,328,3147,1397,649,-7.0,34.0,16.0,-10.437010765075684,-19.775390625,-9.765625,-0.682373046875,0.6309814453125,-0.179443359375
0.055,328,3147,1416,725,-7.0,34.0,16.0,-10.437010765075684,-19.775390625,-9.765625,-0.66650390625,0.62841796875,-0.1595458984375
0.063,322,3147,1401,790,-7.0,34.0,16.0,-17.9443359375,-17.51708984375,-10.742186546325684,-0.66650390625,0.62841796875,-0.1595458984375
0.097,330,3147,1422,922,-7.0,34.0,16.0,-32.28759765625,-14.465331077575684,-14.404295921325684,-0.59033203125,0.537353515625,-0.0972900390625
0.097,329,3147,1413,1153,-7.0,34.0,16.0,-32.28759765625,-14.465331077575684,-14.404295921325684,-0.4970703125,0.4871826171875,-0.089599609375
0.097,330,3147,1357,1387,-4.0,36.0,16.0,-37.29248046875,-14.099120140075684,-17.51708984375,-0.4970703125,0.4871826171875,-0.089599609375
0.108,325,3147,1149,1845,-4.0,36.0,16.0,-44.250484466552734,-17.63916015625,-26.184080123901367,-0.2181396484375,0.36865234375,-0.0975341796875
0.127,328,3147,1078,2087,-4.0,36.0,16.0,-44.250484466552734,-17.63916015625,-26.184080123901367,-0.0927734375,0.3165283203125,-0.1075439453125
0.129,324,3147,1000,2337,-4.0,36.0,16.0,-43.151851654052734,-21.362302780151367,-28.503416061401367,-0.0927734375,0.3165283203125,-0.1075439453125
0.137,328,3147,1004,2847,-4.0,36.0,16.0,-42.419429779052734,-30.639646530151367,-25.207517623901367,0.1156005859375,0.361572265625,-0.0272216796875
0.149,334,3147,1103,3147,-4.0,36.0,16.0,-42.419429779052734,-30.639646530151367,-25.207517623901367,0.1622314453125,0.4053955078125,-0.013427734375
0.153,344,3147,1173,3147,-4.0,36.0,16.0,-47.119136810302734,-37.90283203125,-27.832029342651367,0.1622314453125,0.4053955078125,-0.013427734375
0.167,362,3147,1434,3147,-4.0,36.0,16.0,-64.453125,-64.88037109375,-46.264644622802734,-0.4312744140625,0.53759765625,-0.0382080078125
0.175,363,3147,1655,3147,-4.0,36.0,16.0,-64.453125,-64.88037109375,-46.264644622802734,-0.9737548828125,0.4527587890625,-0.1427001953125
0.193,371,3147,1761,3147,-4.0,36.0,16.0,-85.57128143310547,-69.2138671875,-54.931636810302734,-0.9737548828125,0.4527587890625,-0.1427001953125
0.204,383,3147,1946,3147,-3.0,36.0,21.0,-125.61034393310547,-36.4990234375,-60.485836029052734,-1.6060791015625,0.220947265625,-0.1378173828125
0.205,371,3147,2047,3147,-3.0,36.0,21.0,-125.61034393310547,-36.4990234375,-60.485836029052734,-1.6435546875,0.6065673828125,0.051025390625
0.213,388,3147,2124,3147,-3.0,36.0,21.0,-121.94823455810547,-19.8974609375,-48.522945404052734,-1.6435546875,0.6065673828125,0.051025390625
0.227,388,3147,2194,3147,-3.0,36.0,21.0,-74.89013671875,-2.746581792831421,-16.66259765625,-1.6470947265625,1.2900390625,0.0584716796875
0.235,390,3147,2261,3147,-3.0,36.0,21.0,-74.89013671875,-2.746581792831421,-16.66259765625,-1.79541015625,1.12646484375,0.0892333984375
0.243,388,3147,2253,3147,-3.0,36.0,21.0,-61.401363372802734,-1.2817381620407104,-18.73779296875,-1.79541015625,1.12646484375,0.0892333984375
0.262,390,3147,2087,3147,-3.0,36.0,21.0,-55.969234466552734,-2.807616949081421,-21.301267623901367,-1.4676513671875,0.770263671875,0.0074462890625
0.265,386,3147,2047,3147,-3.0,36.0,21.0,-38.39111328125,-2.3193359375,-19.287109375,-1.4676513671875,0.770263671875,0.0074462890625
0.274,385,3147,2018,3147,-3.0,36.0,21.0,-10.314940452575684,-4.2724609375,-28.442380905151367,-0.98974609375,0.5389404296875,0.0084228515625
0.295,385,3147,1973,3147,2.0,32.0,20.0,11.169432640075684,-9.765625,-45.288082122802734,-0.75439453125,0.888916015625,-0.1900634765625
