time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.002,308,1123,331,324,6.0,34.0,11.0,1.220703125,-8.48388671875,-12.817381858825684,-0.8363037109375,0.4356689453125,-0.062744140625
0.010,308,1182,351,328,6.0,34.0,11.0,1.220703125,-8.48388671875,-12.817381858825684,-0.8463134765625,0.443359375,-0.047607421875
0.023,309,1292,336,319,6.0,34.0,11.0,1.4648436307907104,-9.09423828125,-13.305663108825684,-0.8553466796875,0.443603515625,-0.03759765625
0.032,307,1302,334,328,6.0,34.0,11.0,0.0610351525247097,-9.33837890625,-13.549803733825684,-0.862548828125,0.43896484375,-0.03466796875
0.054,309,1262,336,328,6.0,34.0,11.0,0.0610351525247097,-9.33837890625,-13.549803733825684,-0.8695068359375,0.432861328125,-0.0311279296875
0.057,308,1509,359,328,6.0,34.0,11.0,-1.4038084745407104,-9.70458984375,-13.549803733825684,-0.87841796875,0.42822265625,-0.02587890625
0.068,310,1494,356,324,6.0,34.0,11.0,-0.9765624403953552,-9.94873046875,-13.488768577575684,-0.885498046875,0.425048828125,-0.0164794921875
0.073,308,1483,344,328,5.0,33.0,12.0,-0.9765624403953552,-9.94873046875,-13.488768577575684,-0.8858642578125,0.42138671875,-0.0018310546875
0.092,313,1575,346,330,5.0,33.0,12.0,-0.2441406100988388,-10.192870140075684,-13.549803733825684,-0.8853759765625,0.4212646484375,0.0135498046875
0.097,310,1773,336,328,5.0,33.0,12.0,0.6103515625,-10.192870140075684,-14.282225608825684,-0.8900146484375,0.4232177734375,0.02197265625
0.106,310,1834,356,330,5.0,33.0,12.0,0.6103515625,-10.192870140075684,-14.282225608825684,-0.8968505859375,0.4227294921875,0.0159912109375
0.115,309,1954,346,328,5.0,33.0,12.0,0.2441406100988388,-9.8876953125,-14.404295921325684,-0.8968505859375,0.4227294921875,0.0159912109375
0.156,312,2000,338,328,5.0,33.0,12.0,-1.03759765625,-9.09423828125,-13.549803733825684,-0.8997802734375,0.4207763671875,-0.012939453125
0.161,308,1997,354,328,5.0,33.0,12.0,-1.03759765625,-9.09423828125,-13.549803733825684,-0.8992919921875,0.431884765625,-0.02490234375
0.174,310,2047,344,330,5.0,33.0,12.0,-1.0986328125,-9.27734375,-13.305663108825684,-0.8992919921875,0.431884765625,-0.02490234375
0.195,308,2155,371,312,5.0,33.0,12.0,-0.3662109076976776,-10.803221702575684,-14.038084983825684,-0.8990478515625,0.4595947265625,-0.03857421875
0.208,312,2242,362,330,5.0,33.0,12.0,-0.3662109076976776,-10.803221702575684,-14.038084983825684,-0.895263671875,0.456787109375,-0.0345458984375
0.214,308,2290,346,330,6.0,34.0,7.0,-0.30517578125,-11.413573265075684,-14.587401390075684,-0.895263671875,0.456787109375,-0.0345458984375
0.218,310,2381,345,330,6.0,34.0,7.0,0.1831054538488388,-12.329100608825684,-15.624999046325684,-0.8912353515625,0.4346923828125,-0.01123046875
0.222,308,2529,382,332,6.0,34.0,7.0,0.1831054538488388,-12.329100608825684,-15.624999046325684,-0.8946533203125,0.427001953125,-0.00146484375
0.225,308,2559,356,330,6.0,34.0,7.0,0.2441406100988388,-12.695311546325684,-16.41845703125,-0.8946533203125,0.427001953125,-0.00146484375
0.228,310,2683,361,333,6.0,34.0,7.0,-0.6713866591453552,-12.634276390075684,-17.63916015625,-0.8917236328125,0.4169921875,0.0050048828125
0.231,310,2700,360,332,6.0,34.0,7.0,-0.6713866591453552,-12.634276390075684,-17.63916015625,-0.881103515625,0.4061279296875,0.009521484375
0.234,299,2748,323,328,6.0,34.0,7.0,-2.3193359375,-11.901854515075684,-17.76123046875,-0.881103515625,0.4061279296875,0.009521484375
0.263,313,2679,431,329,6.0,34.0,7.0,-9.82666015625,-8.72802734375,-16.54052734375,-0.84765625,0.358154296875,0.0301513671875
0.266,313,2811,414,334,6.0,34.0,7.0,-9.82666015625,-8.72802734375,-16.54052734375,-0.8360595703125,0.32958984375,0.039794921875
0.268,313,2974,426,334,6.0,34.0,7.0,-13.000487327575684,-7.202147960662842,-14.953612327575684,-0.8360595703125,0.32958984375,0.039794921875
0.276,306,3128,426,334,10.0,33.0,7.0,-14.526366233825684,-5.432128429412842,-8.1787109375,-0.8564453125,0.3099365234375,0.0384521484375
0.292,314,3147,423,338,10.0,33.0,7.0,-14.526366233825684,-5.432128429412842,-8.1787109375,-0.8892822265625,0.3118896484375,0.029296875
