time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.000,309,387,441,310,-20.0,47.0,30.0,-6.286620616912842,-6.713866710662842,1.4038084745407104,-0.665283203125,0.61083984375,-0.376220703125
0.001,310,374,437,310,-20.0,47.0,30.0,-5.859374523162842,-5.859374523162842,1.0986328125,-0.6624755859375,0.621337890625,-0.38427734375
0.010,310,387,440,311,-20.0,47.0,30.0,-4.7607421875,-4.7607421875,0.9155272841453552,-0.6632080078125,0.6292724609375,-0.39404296875
0.023,309,394,441,311,-20.0,47.0,30.0,-3.967284917831421,-3.906249761581421,0.7934569716453552,-0.665771484375,0.6307373046875,-0.3963623046875
0.041,310,391,441,310,-20.0,47.0,30.0,-3.417968511581421,-3.234863042831421,0.6713866591453552,-0.669189453125,0.6259765625,-0.392822265625
0.041,296,391,441,309,-20.0,47.0,30.0,-2.868652105331421,-2.807616949081421,0.4882812201976776,-0.6729736328125,0.61865234375,-0.390380859375
0.054,309,393,446,310,-20.0,47.0,30.0,-2.13623046875,-2.50244140625,0.4272460639476776,-0.6754150390625,0.6123046875,-0.3900146484375
0.061,310,393,447,310,-20.0,47.0,30.0,-1.3427733182907104,-2.563476324081421,0.4882812201976776,-0.6759033203125,0.6107177734375,-0.390869140625
0.087,307,391,444,310,-20.0,47.0,30.0,-0.3662109076976776,-2.868652105331421,0.6713866591453552,-0.6741943359375,0.61474609375,-0.391357421875
0.087,308,394,444,310,-16.0,48.0,30.0,1.03759765625,-3.234863042831421,0.8544921278953552,-0.6678466796875,0.617919921875,-0.3880615234375
0.093,308,396,447,310,-16.0,48.0,30.0,2.50244140625,-3.601073980331421,0.7934569716453552,-0.6602783203125,0.6163330078125,-0.383056640625
0.155,309,396,449,310,-16.0,48.0,30.0,3.540038824081421,-3.845214605331421,0.6103515625,-0.6566162109375,0.6141357421875,-0.382568359375
0.157,310,395,450,310,-16.0,48.0,30.0,3.662109136581421,-3.906249761581421,0.6713866591453552,-0.658447265625,0.615478515625,-0.3861083984375
0.158,310,396,450,310,-16.0,48.0,30.0,3.112792730331421,-3.845214605331421,0.9155272841453552,-0.664794921875,0.619873046875,-0.39013671875
0.158,315,383,452,308,-16.0,48.0,30.0,2.746581792831421,-3.662109136581421,0.9765624403953552,-0.673095703125,0.6236572265625,-0.393798828125
0.158,295,396,452,310,-16.0,48.0,30.0,2.807616949081421,-3.540038824081421,0.7324218153953552,-0.6778564453125,0.6236572265625,-0.3973388671875
0.158,308,396,452,310,-16.0,48.0,30.0,2.685546636581421,-3.662109136581421,0.30517578125,-0.6751708984375,0.6207275390625,-0.4005126953125
0.160,308,396,453,310,-16.0,48.0,30.0,1.9531248807907104,-4.2724609375,-0.1831054538488388,-0.67041015625,0.619140625,-0.4012451171875
0.179,308,396,453,310,-16.0,48.0,30.0,0.9765624403953552,-5.065917491912842,-0.54931640625,-0.6689453125,0.6214599609375,-0.4000244140625
0.182,308,394,453,311,-17.0,49.0,29.0,0.6103515625,-6.042479991912842,-1.0986328125,-0.67041015625,0.6263427734375,-0.4019775390625
0.195,308,394,452,310,-17.0,49.0,29.0,0.6103515625,-7.202147960662842,-2.01416015625,-0.6732177734375,0.6298828125,-0.4083251953125
0.203,308,394,452,311,-17.0,49.0,29.0,0.3662109076976776,-8.60595703125,-3.112792730331421,-0.673583984375,0.6307373046875,-0.4144287109375
0.233,310,393,454,310,-17.0,49.0,29.0,-0.1220703050494194,-10.314940452575684,-4.2724609375,-0.6708984375,0.631103515625,-0.4173583984375
0.249,309,395,450,310,-17.0,49.0,29.0,-0.9155272841453552,-12.084959983825684,-5.432128429412842,-0.6683349609375,0.631591796875,-0.4195556640625
0.250,310,380,446,310,-17.0,49.0,29.0,-2.0751953125,-13.671874046325684,-6.530761241912842,-0.6683349609375,0.630859375,-0.4222412109375
0.250,310,381,430,310,-17.0,49.0,29.0,-3.967284917831421,-15.197752952575684,-7.385253429412842,-0.672607421875,0.630859375,-0.4227294921875
0.256,308,394,430,299,-17.0,49.0,29.0,-6.225585460662842,-16.845703125,-8.11767578125,-0.680419921875,0.6328125,-0.41748046875
0.263,309,394,438,311,-17.0,49.0,29.0,-8.1787109375,-18.5546875,-9.1552734375,-0.68896484375,0.6351318359375,-0.4080810546875
0.271,310,393,437,311,-17.0,49.0,29.0,-9.21630859375,-20.324705123901367,-10.498045921325684,-0.6962890625,0.6358642578125,-0.3966064453125
0.286,309,391,435,311,-19.0,47.0,32.0,-9.46044921875,-21.911619186401367,-12.023924827575684,-0.702392578125,0.632080078125,-0.38623046875
0.293,308,387,432,310,-19.0,47.0,32.0,-9.46044921875,-23.437498092651367,-13.610838890075684,-0.70849609375,0.6103515625,-0.3701171875
0.301,310,386,433,311,-19.0,47.0,32.0,-9.21630859375,-25.024412155151367,-15.075682640075684,-0.70849609375,0.6103515625,-0.3701171875
0.310,310,386,433,312,-19.0,47.0,32.0,-8.23974609375,-26.794431686401367,-16.54052734375,-0.7081298828125,0.6005859375,-0.3616943359375
0.350,310,387,427,310,-19.0,47.0,32.0,-6.835937023162842,-28.808591842651367,-18.06640625,-0.709716796875,0.5972900390625,-0.3360595703125
0.350,310,391,413,296,-19.0,47.0,32.0,-5.310058116912842,-30.822751998901367,-19.83642578125,-0.709716796875,0.5972900390625,-0.3360595703125
0.350,289,373,423,309,-19.0,47.0,32.0,-3.906249761581421,-32.8369140625,-21.789548873901367,-0.7100830078125,0.596435546875,-0.333251953125
0.354,310,387,420,312,-19.0,47.0,32.0,-2.563476324081421,-34.60693359375,-23.681638717651367,-0.706298828125,0.601318359375,-0.3492431640625
0.361,309,387,417,311,-19.0,47.0,32.0,-1.5258787870407104,-36.07177734375,-25.024412155151367,-0.706298828125,0.601318359375,-0.3492431640625
0.370,310,387,414,312,-19.0,47.0,32.0,-1.3427733182907104,-37.29248046875,-25.634763717651367,-0.7039794921875,0.60400390625,-0.361083984375
0.384,309,391,411,310,-17.0,48.0,36.0,-2.807616949081421,-38.0859375,-25.634763717651367,-0.7216796875,0.6282958984375,-0.3443603515625
0.395,309,388,408,311,-17.0,48.0,36.0,-5.187987804412842,-38.57421875,-25.451658248901367,-0.7216796875,0.6282958984375,-0.3443603515625
0.399,310,388,409,310,-17.0,48.0,36.0,-6.958007335662842,-38.6962890625,-25.878904342651367,-0.738525390625,0.6334228515625,-0.3226318359375
