time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.012,308,433,414,310,-9.0,46.0,33.0,12.268065452575684,-8.6669921875,-5.187987804412842,-0.8377685546875,0.468994140625,-0.2752685546875
0.013,294,433,414,310,-9.0,46.0,33.0,12.512206077575684,-8.7890625,-5.920409679412842,-0.8353271484375,0.462646484375,-0.2767333984375
0.018,310,433,419,310,-9.0,46.0,33.0,12.268065452575684,-9.09423828125,-6.469726085662842,-0.834228515625,0.4544677734375,-0.274658203125
0.026,309,433,420,310,-8.0,45.0,32.0,11.413573265075684,-9.3994140625,-6.652831554412842,-0.8355712890625,0.44580078125,-0.2701416015625
0.034,310,435,421,308,-8.0,45.0,32.0,10.192870140075684,-9.521484375,-6.591796398162842,-0.8387451171875,0.4400634765625,-0.264892578125
0.048,308,435,424,310,-8.0,45.0,32.0,8.9111328125,-9.27734375,-6.347655773162842,-0.84326171875,0.4373779296875,-0.2625732421875
0.117,310,435,425,310,-8.0,45.0,32.0,7.507323741912842,-8.7890625,-5.920409679412842,-0.8475341796875,0.437255859375,-0.26220703125
0.117,310,434,426,309,-8.0,45.0,32.0,5.981444835662842,-8.4228515625,-5.493163585662842,-0.849609375,0.4383544921875,-0.260498046875
0.117,308,435,428,310,-8.0,45.0,32.0,5.126952648162842,-8.056640625,-5.065917491912842,-0.852294921875,0.439453125,-0.258544921875
0.117,309,436,428,309,-8.0,45.0,32.0,5.371093273162842,-7.812499523162842,-4.7607421875,-0.852294921875,0.439453125,-0.258544921875
0.117,308,437,430,310,-8.0,45.0,32.0,6.408690929412842,-7.568358898162842,-4.39453125,-0.8526611328125,0.4361572265625,-0.259765625
0.118,309,437,428,310,-8.0,45.0,32.0,7.690429210662842,-7.446288585662842,-3.967284917831421,-0.8487548828125,0.43017578125,-0.257080078125
0.118,310,420,415,310,-8.0,45.0,32.0,8.7890625,-7.446288585662842,-3.601073980331421,-0.8487548828125,0.43017578125,-0.257080078125
0.124,309,437,428,309,-12.0,46.0,32.0,9.58251953125,-7.385253429412842,-3.234863042831421,-0.8472900390625,0.4298095703125,-0.253662109375
0.138,310,437,430,309,-12.0,46.0,32.0,9.82666015625,-7.202147960662842,-2.929687261581421,-0.8482666015625,0.4368896484375,-0.2530517578125
0.146,308,437,433,310,-12.0,46.0,32.0,9.33837890625,-6.835937023162842,-2.807616949081421,-0.8482666015625,0.4368896484375,-0.2530517578125
0.162,310,437,433,310,-12.0,46.0,32.0,8.11767578125,-6.469726085662842,-2.868652105331421,-0.849853515625,0.438720703125,-0.2591552734375
0.168,309,437,433,310,-12.0,46.0,32.0,6.530761241912842,-6.103515148162842,-2.929687261581421,-0.8525390625,0.4368896484375,-0.26513671875
0.176,310,437,435,309,-12.0,46.0,32.0,4.7607421875,-5.798339366912842,-2.929687261581421,-0.8525390625,0.4368896484375,-0.26513671875
0.188,310,438,435,309,-12.0,46.0,32.0,3.295898199081421,-5.493163585662842,-2.807616949081421,-0.8546142578125,0.4378662109375,-0.2642822265625
0.220,308,437,437,309,-12.0,46.0,32.0,2.38037109375,-5.432128429412842,-2.746581792831421,-0.8543701171875,0.44189453125,-0.262451171875
0.220,310,437,437,310,-12.0,46.0,32.0,2.0751953125,-5.554198741912842,-2.807616949081421,-0.8526611328125,0.4385986328125,-0.2586669921875
0.220,310,438,437,310,-12.0,46.0,32.0,2.38037109375,-5.737304210662842,-3.173827886581421,-0.8526611328125,0.4385986328125,-0.2586669921875
0.228,310,438,437,310,-9.0,46.0,33.0,4.21142578125,-6.103515148162842,-3.417968511581421,-0.855224609375,0.4273681640625,-0.2486572265625
0.236,308,437,438,310,-9.0,46.0,33.0,4.21142578125,-6.103515148162842,-3.417968511581421,-0.857177734375,0.42333984375,-0.2486572265625
0.244,310,438,439,310,-9.0,46.0,33.0,5.310058116912842,-6.164550304412842,-3.112792730331421,-0.857177734375,0.42333984375,-0.2486572265625
0.258,310,438,438,310,-9.0,46.0,33.0,6.774901866912842,-5.981444835662842,-2.01416015625,-0.8564453125,0.4189453125,-0.2559814453125
0.269,310,438,439,310,-9.0,46.0,33.0,6.774901866912842,-5.981444835662842,-2.01416015625,-0.8543701171875,0.421630859375,-0.258056640625
