time,compression0,compression1,compression2,compression3,accel_x,accel_y,accel_z
0.003,306,2279,698,336,-0.76416015625,0.0224609375,-0.5982666015625
0.024,305,2238,713,336,-0.7578125,0.0325927734375,-0.6141357421875
0.024,306,2210,725,338,-0.7664794921875,0.0546875,-0.6375732421875
0.045,305,2156,721,332,-0.784423828125,0.0831298828125,-0.6513671875
0.046,308,2165,740,344,-0.798828125,0.110595703125,-0.635498046875
0.049,306,2047,772,334,-0.800048828125,0.119140625,-0.586669921875
0.063,306,2019,846,333,-0.79248046875,0.096435546875,-0.527099609375
0.071,306,2010,883,336,-0.7911376953125,0.0550537109375,-0.4735107421875
0.079,306,2076,853,338,-0.8179931640625,0.0311279296875,-0.4404296875
0.093,306,2203,888,334,-0.8673095703125,0.0537109375,-0.4434814453125
0.101,304,2279,858,337,-0.89892578125,0.0860595703125,-0.4639892578125
0.109,304,2424,833,338,-0.901611328125,0.087890625,-0.4783935546875
0.123,306,2505,873,344,-0.8917236328125,0.0755615234375,-0.4898681640625
0.154,304,2504,887,342,-0.88134765625,0.0654296875,-0.4984130859375
0.158,305,2492,872,338,-0.877197265625,0.066650390625,-0.5050048828125
0.158,304,2468,893,342,-0.8736572265625,0.09375,-0.5242919921875
0.161,304,2424,894,342,-0.859130859375,0.1356201171875,-0.552978515625
0.191,304,2418,879,342,-0.8424072265625,0.16162109375,-0.5743408203125
0.194,306,2368,906,338,-0.8411865234375,0.158447265625,-0.5821533203125
0.209,307,2314,879,338,-0.8526611328125,0.1324462890625,-0.5811767578125
0.209,308,2240,860,338,-0.8526611328125,0.1324462890625,-0.5811767578125
0.231,306,2065,830,334,-0.8697509765625,0.079833984375,-0.558349609375
0.231,304,1918,803,338,-0.86865234375,0.06787109375,-0.549560546875
0.231,306,1788,788,332,-0.86865234375,0.06787109375,-0.549560546875
0.255,305,1471,739,331,-0.8685302734375,0.05126953125,-0.5538330078125
0.256,305,1355,740,330,-0.8656005859375,0.0496826171875,-0.5511474609375
0.260,304,1195,721,328,-0.8656005859375,0.0496826171875,-0.5511474609375
0.277,302,1074,652,327,-0.834716796875,0.050048828125,-0.5101318359375
0.281,302,1074,636,328,-0.8199462890625,0.05712890625,-0.49755859375
0.289,304,1024,632,328,-0.8199462890625,0.05712890625,-0.49755859375
0.303,304,923,628,324,-0.804443359375,0.11962890625,-0.562255859375
0.311,304,894,607,327,-0.8021240234375,0.1533203125,-0.5908203125
0.325,304,803,582,327,-0.8021240234375,0.1533203125,-0.5908203125
0.333,304,754,525,323,-0.795654296875,0.1334228515625,-0.5953369140625
0.341,302,766,500,325,-0.7908935546875,0.1063232421875,-0.576904296875
0.351,302,736,495,323,-0.7908935546875,0.1063232421875,-0.576904296875
0.368,301,738,482,324,-0.7864990234375,0.0762939453125,-0.5406494140625
0.371,304,739,458,324,-0.7841796875,0.08251953125,-0.5357666015625
0.385,304,751,484,324,-0.7841796875,0.08251953125,-0.5357666015625
0.393,300,761,473,323,-0.78125,0.0941162109375,-0.5205078125
0.401,301,832,499,324,-0.7825927734375,0.0853271484375,-0.509033203125
0.409,304,853,501,323,-0.7825927734375,0.0853271484375,-0.509033203125
0.427,302,900,513,323,-0.7864990234375,0.07373046875,-0.497314453125
0.431,304,927,524,324,-0.7864990234375,0.07373046875,-0.497314453125
0.441,302,969,532,324,-0.789794921875,0.070068359375,-0.4970703125
0.456,304,1138,548,327,-0.78515625,0.0777587890625,-0.485595703125
0.461,304,1213,646,328,-0.78515625,0.0777587890625,-0.485595703125
0.480,304,1264,684,330,-0.7811279296875,0.092529296875,-0.4813232421875
0.490,304,1393,695,330,-0.774658203125,0.10400390625,-0.4833984375
0.491,308,1561,689,315,-0.774658203125,0.10400390625,-0.4833984375
0.538,304,1789,706,329,-0.7728271484375,0.100830078125,-0.4873046875
0.558,306,2167,693,336,-0.7894287109375,0.095703125,-0.4818115234375
0.559,304,2379,702,338,-0.7894287109375,0.095703125,-0.4818115234375
0.559,306,2493,700,338,-0.7960205078125,0.0860595703125,-0.4765625
0.560,304,2988,669,338,-0.769287109375,0.0911865234375,-0.4302978515625
0.560,304,3147,707,346,-0.769287109375,0.0911865234375,-0.4302978515625
0.561,306,3147,710,461,-0.73779296875,0.1109619140625,-0.421630859375
0.574,304,3147,815,917,-0.6387939453125,0.19091796875,-0.43701171875
0.589,308,3147,860,1163,-0.6387939453125,0.19091796875,-0.43701171875
0.598,307,3147,890,1467,-0.5718994140625,0.188720703125,-0.398193359375
0.603,306,3147,1011,2087,-0.4622802734375,0.1302490234375,-0.2138671875
0.611,308,3147,1041,2323,-0.4622802734375,0.1302490234375,-0.2138671875
0.620,306,3147,1091,2668,-0.461181640625,0.2357177734375,-0.2132568359375
0.633,308,3147,1231,3095,-0.64990234375,0.432373046875,-0.693359375
