time,compression0,compression1,compression2,compression3,accel_x,accel_y,accel_z
0.000,306,1104,1058,324,-0.82958984375,0.2015380859375,-0.4979248046875
0.015,306,1129,1083,324,-0.83837890625,0.2230224609375,-0.527099609375
0.040,307,1118,1081,324,-0.83984375,0.232421875,-0.5208740234375
0.040,310,1143,1056,323,-0.83984375,0.232421875,-0.5208740234375
0.042,305,1136,1097,325,-0.8389892578125,0.2327880859375,-0.4945068359375
0.051,306,1143,1093,327,-0.83740234375,0.2232666015625,-0.49658203125
0.058,306,1173,1107,324,-0.83740234375,0.2232666015625,-0.49658203125
0.072,306,1225,1093,324,-0.833740234375,0.2059326171875,-0.4981689453125
0.080,306,1224,1104,327,-0.8323974609375,0.1993408203125,-0.4959716796875
0.088,304,1236,1101,327,-0.8323974609375,0.1993408203125,-0.4959716796875
0.102,304,1216,1105,324,-0.8341064453125,0.194091796875,-0.503662109375
0.110,306,1196,1115,325,-0.8341064453125,0.194091796875,-0.503662109375
0.119,305,1202,1118,327,-0.8409423828125,0.191162109375,-0.509521484375
0.150,306,1160,1122,324,-0.8558349609375,0.1842041015625,-0.51513671875
0.151,306,1172,1131,325,-0.8558349609375,0.1842041015625,-0.51513671875
0.151,305,1143,1139,325,-0.8560791015625,0.186767578125,-0.5087890625
0.162,305,1138,1148,324,-0.84375,0.1993408203125,-0.48291015625
0.173,306,1145,1146,324,-0.84375,0.1993408203125,-0.48291015625
0.178,306,1126,1153,324,-0.839111328125,0.1976318359375,-0.4713134765625
0.192,305,1116,1169,324,-0.8536376953125,0.1822509765625,-0.4698486328125
0.204,301,1031,1173,323,-0.8536376953125,0.1822509765625,-0.4698486328125
0.208,306,912,1167,324,-0.8702392578125,0.177490234375,-0.484619140625
0.223,305,794,1117,322,-0.892333984375,0.1995849609375,-0.519287109375
0.243,304,720,1078,321,-0.892333984375,0.1995849609375,-0.519287109375
0.243,304,657,1043,323,-0.89208984375,0.2208251953125,-0.5234375
