time,compression0,compression1,compression2,compression3,accel_x,accel_y,accel_z
0.065,307,308,1056,3032,-0.9522705078125,0.1329345703125,-0.2198486328125
0.065,306,306,1091,3112,-0.9075927734375,0.1611328125,-0.1854248046875
0.065,308,306,1146,3147,-0.838134765625,0.201171875,-0.1683349609375
0.066,306,308,1213,3147,-0.759765625,0.2315673828125,-0.159912109375
0.066,306,306,1278,3147,-0.663818359375,0.2093505859375,-0.1524658203125
0.066,306,306,1355,3147,-0.541748046875,0.1658935546875,-0.1590576171875
0.066,306,308,1506,3147,-0.3565673828125,0.0994873046875,-0.1749267578125
0.066,306,308,1580,3147,-0.0875244140625,-0.0152587890625,-0.1915283203125
0.066,295,293,1599,3147,0.1898193359375,-0.0767822265625,-0.119140625
0.066,295,298,1798,3147,0.270263671875,0.082763671875,0.044677734375
0.066,308,306,1915,3147,-0.037353515625,0.4613037109375,0.1318359375
0.066,306,306,1994,3147,-0.6558837890625,0.8121337890625,0.0205078125
0.066,308,308,2197,3147,-1.308349609375,0.9522705078125,-0.191162109375
0.066,306,308,2330,3147,-1.8177490234375,0.7408447265625,-0.322998046875
0.066,306,307,2422,3147,-2.2989501953125,0.24072265625,-0.297119140625
0.066,306,308,2490,3147,-2.711669921875,0.040771484375,-0.1953125
0.066,308,307,2463,3147,-2.6702880859375,0.2276611328125,-0.0572509765625
0.066,306,306,2398,3147,-2.6702880859375,0.2276611328125,-0.0572509765625
0.066,306,296,2414,3147,-1.1961669921875,0.2635498046875,-0.5443115234375
0.067,307,308,2394,3147,-0.959228515625,0.5,-0.5966796875
0.067,306,308,2361,3147,-0.959228515625,0.5,-0.5966796875
0.074,306,308,2330,3147,-1.811767578125,0.1741943359375,0.006591796875
0.082,306,306,2291,3147,-1.7730712890625,0.078125,0.0302734375
0.092,307,306,2238,3147,-1.7730712890625,0.078125,0.0302734375
0.104,305,308,2139,3147,-1.2943115234375,0.179931640625,-0.06787109375
0.118,308,307,2061,3147,-1.14599609375,0.167236328125,-0.03564453125
0.120,304,306,1931,3147,-1.14599609375,0.167236328125,-0.03564453125
0.145,305,306,1750,3147,-0.9178466796875,0.32080078125,-0.0531005859375
0.147,306,306,1616,3147,-0.7349853515625,0.191650390625,-0.1234130859375
0.156,306,306,1504,3147,-0.7349853515625,0.191650390625,-0.1234130859375
0.164,308,306,1342,3147,-0.5391845703125,0.11083984375,-0.38623046875
0.176,306,307,1278,3147,-0.59912109375,0.1759033203125,-0.42724609375
0.181,306,308,1271,3045,-0.59912109375,0.1759033203125,-0.42724609375
0.194,306,307,1229,2777,-0.6282958984375,0.2218017578125,-0.2552490234375
0.202,307,306,1184,2636,-0.593505859375,0.1475830078125,-0.2359619140625
0.210,308,306,1163,2516,-0.593505859375,0.1475830078125,-0.2359619140625
0.224,306,308,1147,2379,-0.6689453125,0.1063232421875,-0.2861328125
0.232,308,306,1129,2335,-0.7652587890625,0.1903076171875,-0.187255859375
0.257,308,307,1103,2257,-0.7652587890625,0.1903076171875,-0.187255859375
0.310,306,307,1067,2158,-0.865234375,0.1307373046875,0.014404296875
0.310,308,306,1042,2115,-0.865234375,0.1307373046875,0.014404296875
0.310,308,309,1051,2162,-0.846435546875,0.1346435546875,0.0582275390625
0.310,307,308,1063,2202,-0.8052978515625,0.1961669921875,-0.019775390625
0.310,308,308,1064,2287,-0.807373046875,0.1661376953125,-0.1339111328125
0.310,306,306,1069,2341,-0.807373046875,0.1661376953125,-0.1339111328125
0.315,307,309,1097,2507,-0.8739013671875,0.17138671875,-0.2598876953125
0.323,307,308,1101,2621,-0.8983154296875,0.1856689453125,-0.273193359375
0.331,306,308,1112,2677,-0.8983154296875,0.1856689453125,-0.273193359375
0.354,306,308,1157,2875,-0.8262939453125,0.171875,-0.2410888671875
0.354,308,306,1175,3012,-0.7547607421875,0.17578125,-0.2164306640625
0.361,307,308,1183,3141,-0.7547607421875,0.17578125,-0.2164306640625
0.375,307,306,1294,3147,-0.5650634765625,0.1807861328125,-0.1790771484375
0.383,307,308,1434,3147,-0.5650634765625,0.1807861328125,-0.1790771484375
0.391,306,307,1572,3147,-0.4267578125,0.1097412109375,-0.1695556640625
0.405,306,308,1920,3147,-0.0816650390625,-0.07177734375,-0.2545166015625
0.413,306,306,2080,3147,-0.0816650390625,-0.07177734375,-0.2545166015625
0.426,306,306,2247,3147,0.016845703125,-0.0535888671875,-0.312255859375
0.435,306,306,2463,3147,-0.198486328125,0.1546630859375,-0.201904296875
0.443,306,306,2584,3147,-0.198486328125,0.1546630859375,-0.201904296875
0.462,306,308,2662,3147,-0.636474609375,0.276611328125,0.1796875
0.465,306,308,2798,3147,-1.65771484375,0.3016357421875,0.92919921875
0.473,306,307,2885,3147,-1.65771484375,0.3016357421875,0.92919921875
0.481,305,306,2958,3147,-1.8768310546875,0.3892822265625,0.490234375
0.495,306,306,3056,3147,-2.3851318359375,0.5604248046875,-0.447509765625
0.503,306,306,3031,3147,-2.3851318359375,0.5604248046875,-0.447509765625
0.514,307,308,3028,3147,-2.4931640625,0.5091552734375,-0.755126953125
