time,compression0,compression1,compression2,compression3,accel_x,accel_y,accel_z
0.001,308,3147,607,706,-0.8505859375,0.3841552734375,-0.3463134765625
0.022,308,3147,617,694,-0.849853515625,0.38037109375,-0.348388671875
0.023,306,3147,607,684,-0.8419189453125,0.3779296875,-0.347412109375
0.031,308,3147,619,669,-0.8328857421875,0.376708984375,-0.3447265625
0.039,308,3147,619,666,-0.827880859375,0.375,-0.343505859375
0.053,310,3147,600,625,-0.8302001953125,0.3704833984375,-0.343994140625
0.061,309,3147,625,533,-0.8399658203125,0.3607177734375,-0.3436279296875
0.073,309,3147,643,497,-0.848876953125,0.3492431640625,-0.3359375
0.086,313,3147,601,526,-0.847900390625,0.343017578125,-0.31591796875
0.098,308,3147,586,644,-0.822265625,0.3302001953125,-0.281494140625
0.099,311,3147,596,810,-0.770751953125,0.295654296875,-0.2340087890625
0.118,307,3147,644,1057,-0.7095947265625,0.27734375,-0.1883544921875
0.128,308,3147,710,1143,-0.64404296875,0.30224609375,-0.1739501953125
0.129,312,3147,754,1292,-0.5506591796875,0.3138427734375,-0.1842041015625
0.143,315,3147,787,1662,-0.3878173828125,0.271728515625,-0.1739501953125
0.151,316,3147,871,1907,-0.1790771484375,0.239501953125,-0.1376953125
0.159,316,3147,814,2201,-0.0206298828125,0.282470703125,-0.14404296875
0.173,321,3147,984,2507,0.0067138671875,0.3865966796875,-0.2398681640625
0.202,328,3147,1217,2765,-0.1317138671875,0.5604248046875,-0.3116455078125
0.202,333,3147,1357,3024,-0.4521484375,0.77294921875,-0.268798828125
0.203,338,3147,1534,3147,-0.8935546875,0.88134765625,-0.208251953125
0.225,344,3147,1627,3147,-1.3450927734375,0.7996826171875,-0.2772216796875
0.228,346,3147,1732,3147,-1.75048828125,0.6180419921875,-0.4359130859375
0.233,348,3147,1815,3147,-2.068359375,0.449951171875,-0.55419921875
0.241,353,3147,1835,3147,-2.2254638671875,0.334228515625,-0.5511474609375
0.249,347,3147,1798,3147,-1.9744873046875,0.1912841796875,-0.3646240234375
0.263,345,3147,1748,3147,-1.3203125,0.2166748046875,-0.0782470703125
0.271,344,3147,1686,3147,-0.81103515625,0.5966796875,-0.04052734375
0.279,336,3147,1568,3147,-0.7108154296875,0.970458984375,-0.314208984375
0.305,333,3147,1455,3147,-0.8353271484375,0.982666015625,-0.49169921875
0.306,332,3147,1453,3147,-1.1153564453125,0.74755859375,-0.500244140625
0.309,330,3147,1450,3128,-1.4349365234375,0.6041259765625,-0.5762939453125
0.328,327,3147,1419,2880,-1.5164794921875,0.5166015625,-0.6317138671875
0.331,324,3147,1397,2638,-1.324462890625,0.3466796875,-0.4666748046875
0.340,321,3147,1345,2395,-1.0552978515625,0.195068359375,-0.202880859375
0.353,318,3147,1306,1973,-0.8389892578125,0.157958984375,-0.0283203125
0.364,315,3147,1278,1705,-0.715576171875,0.17138671875,0.0255126953125
0.369,309,3147,1255,1422,-0.715576171875,0.17138671875,0.0255126953125
0.384,315,3147,1189,971,-0.748779296875,0.2080078125,0.0245361328125
0.391,315,3147,1178,620,-0.79052734375,0.2255859375,-0.0230712890625
0.422,313,3147,1120,359,-0.79052734375,0.2255859375,-0.0230712890625
0.422,309,2608,1095,354,-0.802734375,0.1490478515625,-0.1739501953125
0.422,310,2180,1029,347,-0.79541015625,0.1129150390625,-0.196044921875
