time,compression0,compression1,compression2,compression3,accel_x,accel_y,accel_z
0.000,324,3147,1755,2028,-0.833740234375,0.5369873046875,-0.0648193359375
0.014,328,3147,1755,1996,-0.833740234375,0.5369873046875,-0.0648193359375
0.016,328,3147,1748,1918,-0.8365478515625,0.5404052734375,-0.06884765625
0.030,327,3147,1745,1828,-0.8388671875,0.53125,-0.077392578125
0.050,327,3147,1739,1774,-0.8388671875,0.53125,-0.077392578125
0.050,324,3147,1739,1718,-0.840576171875,0.52392578125,-0.0743408203125
0.060,324,3147,1739,1653,-0.832763671875,0.51171875,-0.0699462890625
0.070,324,3147,1730,1636,-0.832763671875,0.51171875,-0.0699462890625
0.076,324,3147,1730,1624,-0.827880859375,0.5076904296875,-0.0657958984375
0.090,324,3147,1730,1607,-0.825439453125,0.509521484375,-0.062255859375
0.100,323,3147,1730,1592,-0.8270263671875,0.519287109375,-0.059814453125
0.106,323,3147,1732,1588,-0.8336181640625,0.53173828125,-0.0614013671875
0.120,321,3147,1730,1577,-0.8369140625,0.533447265625,-0.0682373046875
0.132,323,3147,1730,1557,-0.837646484375,0.5223388671875,-0.0706787109375
0.153,324,3147,1727,1573,-0.83837890625,0.505859375,-0.068359375
0.153,323,3147,1718,1613,-0.8369140625,0.4901123046875,-0.06689453125
0.158,323,3147,1715,1627,-0.8365478515625,0.4791259765625,-0.0660400390625
0.166,321,3147,1704,1632,-0.8419189453125,0.4698486328125,-0.0687255859375
0.180,321,3147,1669,1627,-0.85595703125,0.4556884765625,-0.0755615234375
0.195,321,3147,1653,1635,-0.8690185546875,0.4278564453125,-0.076416015625
0.196,321,3147,1628,1629,-0.8656005859375,0.4017333984375,-0.06591796875
0.221,319,3147,1615,1666,-0.850830078125,0.413818359375,-0.0338134765625
0.221,304,3147,1629,1703,-0.8253173828125,0.4439697265625,0.0062255859375
0.226,318,3147,1640,1748,-0.7911376953125,0.4478759765625,0.035888671875
0.254,318,3147,1667,1897,-0.7418212890625,0.4249267578125,0.0491943359375
0.254,321,3147,1700,2000,-0.66845703125,0.416259765625,0.0377197265625
0.256,319,3147,1779,2050,-0.6246337890625,0.4405517578125,0.0194091796875
0.270,316,3147,1854,2215,-0.55712890625,0.3802490234375,-0.019775390625
0.279,323,3147,1894,2293,-0.3677978515625,0.181884765625,-0.047119140625
0.286,319,3147,1894,2419,-0.158935546875,0.0325927734375,0.005859375
0.302,328,3147,1973,2692,-0.0489501953125,0.0828857421875,0.0689697265625
0.310,332,3147,2039,2949,-0.0416259765625,0.32861328125,0.0894775390625
0.327,338,3147,2058,3137,-0.1572265625,0.6397705078125,0.1029052734375
0.331,348,3147,2135,3147,-0.4732666015625,0.892822265625,0.1051025390625
0.351,351,3147,2188,3147,-0.9698486328125,1.13818359375,0.0465087890625
0.351,361,3147,2296,3147,-1.4962158203125,1.3397216796875,-0.0911865234375
0.360,371,3147,2359,3147,-1.921875,1.2908935546875,-0.271728515625
0.370,371,3147,2435,3147,-2.1353759765625,1.019775390625,-0.3934326171875
0.376,365,3147,2397,3147,-1.8546142578125,0.608642578125,-0.32958984375
0.390,362,3147,2364,3147,-1.23388671875,0.3463134765625,-0.085205078125
0.398,359,3147,2334,3147,-0.831298828125,0.520751953125,0.0888671875
0.411,354,3147,2328,3147,-0.73681640625,0.8297119140625,0.027587890625
0.423,356,3147,2284,3147,-0.8702392578125,1.073974609375,-0.1014404296875
0.430,359,3147,2209,3147,-1.171630859375,1.2232666015625,-0.208740234375
0.439,354,3147,2128,3147,-1.405517578125,1.155517578125,-0.2498779296875
0.452,345,3147,2093,3147,-1.3909912109375,0.884033203125,-0.147216796875
0.459,334,3147,2054,3147,-1.17431640625,0.5655517578125,0.0216064453125
0.466,334,3147,2054,3089,-0.8939208984375,0.387451171875,0.148193359375
0.480,328,3147,2049,2695,-0.665771484375,0.394287109375,0.1817626953125
0.490,324,3147,2012,2394,-0.5738525390625,0.4571533203125,0.116455078125
0.496,324,3147,1948,2076,-0.6201171875,0.475341796875,-0.0155029296875
0.515,317,3147,1850,1662,-0.6903076171875,0.4437255859375,-0.1083984375
0.527,321,3147,1813,1399,-0.717041015625,0.37841796875,-0.1072998046875
0.528,319,3147,1815,1215,-0.74169921875,0.2967529296875,-0.0924072265625
0.543,317,3147,1739,691,-0.7764892578125,0.2252197265625,-0.093994140625
0.553,318,3147,1739,356,-0.794921875,0.200439453125,-0.085205078125
0.564,313,2916,1572,344,-0.7879638671875,0.2535400390625,-0.0758056640625
0.570,317,2203,1476,344,-0.7659912109375,0.3704833984375,-0.077880859375
0.579,315,1743,1411,324,-0.75,0.4844970703125,-0.094482421875
0.586,315,1231,1362,330,-0.7474365234375,0.549072265625,-0.111572265625
0.600,313,816,1303,334,-0.755126953125,0.5526123046875,-0.1112060546875
0.610,314,806,1278,334,-0.757568359375,0.4996337890625,-0.0849609375
0.628,313,815,1278,332,-0.745849609375,0.4205322265625,-0.04443359375
0.631,314,774,1255,330,-0.7418212890625,0.364013671875,-0.0152587890625
0.639,314,790,1253,330,-0.7479248046875,0.3614501953125,0.0001220703125
0.668,313,790,1262,332,-0.744873046875,0.3743896484375,-0.0020751953125
0.670,315,872,1263,332,-0.7261962890625,0.35546875,-0.01416015625
0.671,313,897,1274,308,-0.6954345703125,0.3143310546875,-0.0152587890625
0.676,314,890,1287,336,-0.646240234375,0.279296875,-0.0059814453125
0.690,313,1160,1318,330,-0.58251953125,0.2630615234375,0.0086669921875
0.703,314,1762,1365,344,-0.527587890625,0.248779296875,0.03857421875
0.706,315,2448,1434,334,-0.484619140625,0.2393798828125,0.0728759765625
0.737,319,3147,1624,651,-0.4354248046875,0.253173828125,0.1044921875
0.737,323,3147,1640,1081,-0.3472900390625,0.2431640625,0.1182861328125
0.737,318,3147,1695,1487,-0.1917724609375,0.2159423828125,0.0740966796875
0.767,323,3147,1757,2128,0.0172119140625,0.237548828125,-0.0244140625
0.767,327,3147,1848,2527,0.1435546875,0.3377685546875,-0.0899658203125
0.767,333,3147,1904,2822,0.1435546875,0.3377685546875,-0.0899658203125
0.781,353,3147,2048,3147,-0.3497314453125,0.7960205078125,0.0203857421875
0.790,360,3147,2228,3147,-1.01806640625,1.1329345703125,0.005859375
0.796,371,3147,2284,3147,-1.01806640625,1.1329345703125,0.005859375
0.810,382,3147,2388,3147,-2.4725341796875,1.2486572265625,-0.3665771484375
0.819,382,3147,2430,3147,-2.77880859375,0.928955078125,-0.4718017578125
0.840,383,3147,2449,3147,-2.77880859375,0.928955078125,-0.4718017578125
0.843,375,3147,2444,3147,-1.3634033203125,0.01318359375,0.0223388671875
0.862,375,3147,2392,3147,-0.7301025390625,0.2686767578125,0.31494140625
0.862,370,3147,2372,3147,-0.7301025390625,0.2686767578125,0.31494140625
0.871,360,3147,2350,3147,-0.9400634765625,1.243408203125,-0.089111328125
0.880,371,3147,2249,3147,-1.4002685546875,1.412109375,-0.3197021484375
0.888,364,3147,2192,3147,-1.4002685546875,1.412109375,-0.3197021484375
0.895,361,3147,2114,3147,-1.6751708984375,1.18310546875,-0.4091796875
0.909,351,3147,2030,2936,-1.362060546875,0.4844970703125,-0.1412353515625
0.917,338,3147,2074,2417,-1.362060546875,0.4844970703125,-0.1412353515625
0.925,333,3147,2024,2072,-1.0423583984375,0.331787109375,0.0496826171875
0.941,326,3147,1970,1280,-0.6339111328125,0.20849609375,0.173583984375
0.973,323,3147,1941,732,-0.6339111328125,0.20849609375,0.173583984375
0.974,321,3099,1936,344,-0.62451171875,0.2501220703125,0.073486328125
0.974,317,1931,1905,338,-0.6634521484375,0.2591552734375,-0.0367431640625
0.977,315,1278,1773,336,-0.6634521484375,0.2591552734375,-0.0367431640625
1.002,310,846,1611,332,-0.651123046875,0.1422119140625,-0.1505126953125
1.014,309,749,1243,328,-0.662353515625,0.12890625,-0.2027587890625
1.022,312,685,1117,323,-0.662353515625,0.12890625,-0.2027587890625
1.033,310,654,1038,327,-0.7177734375,0.2578125,-0.1612548828125
1.037,309,679,936,327,-0.631103515625,0.3643798828125,-0.1553955078125
1.038,294,704,906,327,-0.631103515625,0.3643798828125,-0.1553955078125
1.048,304,713,920,330,-0.6077880859375,0.380859375,-0.13427734375
1.071,308,721,933,328,-0.6419677734375,0.45068359375,-0.063720703125
1.072,310,706,887,324,-0.6419677734375,0.45068359375,-0.063720703125
1.075,310,721,918,330,-0.648681640625,0.4942626953125,-0.0380859375
1.089,310,721,922,328,-0.6602783203125,0.5283203125,-0.01171875
1.099,309,761,960,328,-0.672607421875,0.5338134765625,0.010498046875
1.105,311,784,1004,330,-0.655517578125,0.5107421875,0.004638671875
1.119,310,840,1138,332,-0.6180419921875,0.4676513671875,-0.038818359375
1.127,312,1012,1184,327,-0.5838623046875,0.401611328125,-0.1009521484375
1.140,315,1236,1204,338,-0.5687255859375,0.3665771484375,-0.15234375
1.159,316,1927,1279,336,-0.5809326171875,0.3851318359375,-0.17822265625
1.159,317,2555,1359,336,-0.606201171875,0.4365234375,-0.1697998046875
1.177,316,2992,1406,346,-0.62548828125,0.490234375,-0.1160888671875
1.180,327,3147,1569,788,-0.6241455078125,0.4822998046875,-0.0516357421875
1.187,323,3147,1494,1132,-0.6163330078125,0.4102783203125,0.01953125
1.195,323,3147,1413,1357,-0.5845947265625,0.3038330078125,0.080810546875
1.209,331,3147,1429,1824,-0.484375,0.2281494140625,0.073486328125
1.217,337,3147,1560,2139,-0.343017578125,0.2752685546875,0.0626220703125
1.226,346,3147,1659,2445,-0.25048828125,0.424560546875,0.12548828125
1.242,356,3147,1789,2909,-0.315185546875,0.5408935546875,0.225341796875
1.247,356,3147,1821,3098,-0.6044921875,0.547119140625,0.2686767578125
1.260,365,3147,1877,3147,-1.1033935546875,0.583740234375,0.139404296875
1.284,375,3147,1891,3147,-1.67236328125,0.7667236328125,-0.1536865234375
1.284,375,3147,1918,3147,-2.1180419921875,0.9490966796875,-0.452392578125
1.285,376,3147,1920,3147,-2.338623046875,0.999755859375,-0.5806884765625
1.299,371,3147,1954,3147,-2.072998046875,0.7720947265625,-0.4169921875
1.307,371,3147,1920,3147,-1.340576171875,0.4923095703125,0.0091552734375
1.315,369,3147,1904,3147,-0.7703857421875,0.623779296875,0.354248046875
1.329,364,3147,1878,3147,-0.6666259765625,1.00537109375,0.26171875
1.347,364,3147,1852,3147,-0.9996337890625,1.357666015625,-0.0738525390625
1.347,359,3147,1801,3147,-1.4705810546875,1.3763427734375,-0.3695068359375
1.383,354,3147,1652,2758,-1.6444091796875,0.9771728515625,-0.4776611328125
1.383,328,3147,1643,2428,-1.491943359375,0.5401611328125,-0.33935546875
1.383,338,3147,1643,2124,-1.1796875,0.3001708984375,-0.0928955078125
1.390,332,3147,1623,1447,-0.861083984375,0.234375,0.140380859375
1.397,328,3147,1624,739,-0.66015625,0.2218017578125,0.22607421875
1.405,328,3147,1610,359,-0.6124267578125,0.2470703125,0.189453125
1.419,324,2410,1580,359,-0.6319580078125,0.300048828125,0.1689453125
1.427,317,1894,1561,346,-0.6734619140625,0.314697265625,0.1204833984375
1.435,319,1483,1521,345,-0.731689453125,0.265625,-0.0076904296875
