time,compression0,compression1,compression2,compression3,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0.026,306,1303,513,744,-10.0,36.0,9.0,1.7700194120407104,-2.3193359375,-1.03759765625,-0.78515625,0.355224609375,-0.496337890625
0.033,304,1241,555,748,-10.0,36.0,9.0,1.5869139432907104,-2.50244140625,-1.0986328125,-0.7889404296875,0.35595703125,-0.5040283203125
0.033,292,1317,518,705,-10.0,36.0,9.0,1.3427733182907104,-2.807616949081421,-1.0986328125,-0.7889404296875,0.35595703125,-0.5040283203125
0.034,308,1228,548,735,-10.0,36.0,9.0,0.9765624403953552,-3.173827886581421,-1.03759765625,-0.7911376953125,0.357666015625,-0.507080078125
0.047,304,1206,529,687,-10.0,36.0,9.0,0.6713866591453552,-3.662109136581421,-1.0986328125,-0.7911376953125,0.357177734375,-0.51025390625
0.056,305,1204,562,721,-10.0,36.0,9.0,0.4882812201976776,-4.45556640625,-1.2817381620407104,-0.7911376953125,0.357177734375,-0.51025390625
0.069,308,1189,562,724,-10.0,36.0,9.0,0.4272460639476776,-5.432128429412842,-1.5869139432907104,-0.7919921875,0.3582763671875,-0.5118408203125
0.084,308,1149,540,669,-10.0,36.0,9.0,0.4272460639476776,-6.530761241912842,-1.8920897245407104,-0.79345703125,0.3602294921875,-0.5140380859375
0.086,299,1163,539,689,-11.0,37.0,9.0,0.4272460639476776,-7.629394054412842,-2.197265625,-0.7952880859375,0.361083984375,-0.5150146484375
0.094,306,1098,573,698,-11.0,37.0,9.0,0.1831054538488388,-8.7890625,-2.685546636581421,-0.7984619140625,0.3590087890625,-0.5147705078125
0.123,304,1066,559,651,-11.0,37.0,9.0,-0.1220703050494194,-9.94873046875,-3.112792730331421,-0.8011474609375,0.35595703125,-0.513427734375
0.125,306,1026,586,679,-11.0,37.0,9.0,-0.30517578125,-11.291502952575684,-3.662109136581421,-0.802490234375,0.3558349609375,-0.5107421875
