Software Sample Rate=10(Hz)
LCR Meter Speed=Medium(40Hz)
Force Speed=Medium(10Hz)
Primary Parameter=R
Secondary Parameter=Q
Time,Primary Parameter,Secondary Parameter,Force,Positon
7.558000,21120.000000,0.031147,0.000000,743.000000
7.658000,21107.000000,0.031168,0.000000,743.000000
7.758000,21097.200000,0.031154,0.000000,743.000000
7.858000,21109.200000,0.031097,0.000000,743.000000
7.958000,21110.900000,0.031085,0.000000,743.000000
8.058000,21091.200000,0.031105,0.000000,743.000000
8.158000,21091.400000,0.031068,0.000000,743.000000
8.258000,21119.800000,0.031127,0.000000,743.000000
8.358000,21091.400000,0.031065,0.000000,743.000000
8.458000,21101.800000,0.031117,0.000000,743.000000
8.558000,21078.400000,0.031113,0.000000,743.000000
8.658000,21056.500000,0.031166,0.000000,743.000000
8.758000,21040.000000,0.031129,0.000000,743.000000
8.858000,21040.200000,0.031124,0.000000,743.000000
8.958000,21035.300000,0.031120,0.000000,743.000000
9.059000,21032.100000,0.031130,0.000000,743.000000
9.159000,21032.500000,0.031096,0.000000,743.000000
9.259000,20990.900000,0.031097,0.000000,743.000000
9.359000,20963.500000,0.031130,0.000000,743.000000
9.459000,20975.900000,0.031106,0.000000,743.000000
9.559000,20973.000000,0.031107,0.000000,743.000000
11.322000,20761.200000,0.030919,0.000000,743.000000
11.422000,20728.300000,0.030885,0.000000,2512.000000
11.522000,20721.200000,0.030807,0.000000,2679.000000
11.622000,20731.500000,0.030684,0.000000,2845.000000
11.722000,20741.600000,0.030618,0.000000,3012.000000
11.822000,20730.300000,0.030625,0.000000,3178.000000
11.922000,20791.400000,0.030557,0.000000,3344.000000
12.022000,20863.000000,0.030608,0.000000,3512.000000
12.122000,20947.500000,0.030562,0.000000,3678.000000
12.222000,21014.500000,0.030625,0.000000,3844.000000
12.322000,20995.000000,0.030676,0.000000,4010.000000
12.422000,21014.500000,0.030703,0.000000,4176.000000
12.522000,20997.700000,0.030657,0.000000,4342.000000
12.622000,20988.900000,0.030629,0.000000,4509.000000
12.722000,20966.300000,0.030569,0.000000,4675.000000
12.823000,20948.900000,0.030609,0.000000,4841.000000
12.924000,20950.300000,0.030543,0.000000,5006.000000
13.024000,20975.400000,0.030474,0.000000,5172.000000
13.125000,20827.500000,0.030532,0.000000,5338.000000
13.226000,20680.900000,0.030415,0.000000,5505.000000
13.326000,20729.700000,0.030403,0.000000,5673.000000
13.426000,20709.600000,0.030359,0.000000,5839.000000
13.526000,20718.400000,0.030290,0.000000,6006.000000
13.626000,20694.700000,0.030325,0.000000,6173.000000
13.726000,20658.300000,0.030414,0.000000,6341.000000
13.827000,20585.900000,0.030426,0.000000,6510.000000
13.928000,20595.700000,0.030456,0.000000,6678.000000
14.029000,20578.700000,0.030444,0.000000,6845.000000
14.130000,20573.300000,0.030523,0.000000,7011.000000
14.230000,20577.000000,0.030453,0.000000,7177.000000
14.330000,20576.400000,0.030483,0.000000,7344.000000
14.431000,20608.800000,0.030512,0.000000,7511.000000
14.531000,20599.600000,0.030619,0.000000,7678.000000
14.631000,20604.300000,0.030657,0.000000,7844.000000
14.731000,20524.400000,0.030596,0.000000,8011.000000
14.831000,20522.600000,0.030641,0.000000,8177.000000
14.931000,20510.100000,0.030709,0.000000,8344.000000
15.032000,20502.700000,0.030690,0.000000,8512.000000
15.132000,20469.600000,0.030785,0.000000,8679.000000
15.232000,20470.100000,0.030718,0.000000,8845.000000
15.332000,20471.500000,0.030824,0.000000,9011.000000
15.432000,20460.100000,0.030810,0.000000,9176.000000
15.532000,20435.700000,0.030802,0.000000,9342.000000
15.632000,20427.300000,0.030798,0.000000,9509.000000
15.732000,20445.800000,0.030751,0.000000,9675.000000
15.832000,20437.600000,0.030791,0.000000,9841.000000
15.932000,20442.400000,0.030770,0.000000,10006.000000
16.032000,20444.000000,0.030581,0.000000,10172.000000
16.133000,20448.600000,0.030574,0.000000,10338.000000
16.233000,20433.900000,0.030523,0.000000,10506.000000
16.333000,20436.800000,0.030559,0.000000,10673.000000
16.433000,20431.900000,0.029726,0.000000,10840.000000
16.533000,19245.800000,0.029955,0.100000,11007.000000
16.633000,19058.600000,0.030018,0.300000,11174.000000
16.733000,18836.300000,0.030246,0.500000,11338.000000
16.833000,18420.200000,0.030034,0.600000,11355.000000
16.934000,18364.500000,0.030037,0.600000,11363.000000
17.034000,18130.400000,0.030072,0.700000,11372.000000
17.134000,17937.800000,0.030155,0.700000,11380.000000
17.234000,17956.800000,0.030130,0.700000,11389.000000
17.334000,17572.200000,0.030213,0.700000,11397.000000
17.435000,17406.400000,0.030160,0.700000,11405.000000
17.535000,17342.700000,0.030007,0.700000,11414.000000
17.635000,17335.100000,0.029949,0.800000,11422.000000
17.735000,17226.300000,0.029996,0.800000,11431.000000
17.835000,17016.200000,0.030034,0.800000,11439.000000
17.936000,16766.600000,0.030137,0.800000,11448.000000
18.036000,16659.500000,0.030248,0.800000,11456.000000
18.136000,16903.300000,0.030222,0.800000,11465.000000
18.236000,16768.400000,0.030133,0.900000,11473.000000
18.336000,16779.000000,0.030361,0.900000,11481.000000
18.436000,16601.500000,0.030339,0.900000,11490.000000
18.536000,15003.400000,0.030030,0.900000,11498.000000
18.637000,14895.500000,0.030100,0.900000,11506.000000
18.738000,14654.200000,0.030089,0.900000,11514.000000
18.839000,14594.000000,0.030158,1.000000,11523.000000
18.939000,15628.100000,0.030164,1.000000,11531.000000
19.039000,15113.500000,0.029998,1.000000,11539.000000
19.140000,14702.300000,0.030124,1.000000,11547.000000
19.241000,14426.200000,0.030064,1.000000,11555.000000
19.341000,14557.200000,0.030172,1.100000,11564.000000
19.442000,14219.500000,0.030146,1.100000,11572.000000
19.542000,13898.800000,0.030067,1.100000,11580.000000
19.642000,13825.000000,0.029976,1.100000,11588.000000
19.742000,13812.000000,0.030035,1.200000,11597.000000
19.842000,13660.000000,0.030039,1.200000,11605.000000
