Software Sample Rate=10(Hz)
LCR Meter Speed=Medium(40Hz)
Force Speed=Medium(10Hz)
Primary Parameter=R
Secondary Parameter=Q
Time,Primary Parameter,Secondary Parameter,Force,Positon
6.134000,533837.000000,0.082668,0.000000,1.000000
6.234000,529984.000000,0.082620,0.000000,1.000000
6.334000,521044.000000,0.081506,0.000000,1.000000
6.435000,520545.000000,0.081265,0.000000,1.000000
6.535000,523567.000000,0.082377,0.000000,1.000000
6.635000,513679.000000,0.080645,0.000000,1.000000
6.735000,518852.000000,0.081669,0.000000,1.000000
6.836000,524226.000000,0.082081,0.000000,1.000000
6.936000,527303.000000,0.082606,0.000000,1.000000
7.036000,532910.000000,0.083350,0.000000,1.000000
7.136000,536296.000000,0.083851,0.000000,1.000000
7.236000,536972.000000,0.083837,0.000000,1.000000
7.337000,539355.000000,0.083807,0.000000,1.000000
7.437000,554550.000000,0.084774,0.000000,1.000000
7.537000,558704.000000,0.085403,0.000000,1.000000
7.638000,551018.000000,0.084294,0.000000,1.000000
7.738000,548270.000000,0.083534,0.000000,1.000000
7.839000,502916.000000,0.074715,0.000000,1.000000
7.939000,477754.000000,0.069980,0.000000,1.000000
8.040000,465489.000000,0.074152,0.000000,1.000000
8.140000,400916.000000,0.061485,0.000000,1.000000
8.240000,451729.000000,0.071340,0.000000,1.000000
8.341000,474970.000000,0.074570,0.000000,1.000000
8.441000,502239.000000,0.079727,0.000000,1.000000
8.542000,431242.000000,0.063117,0.000000,1.000000
8.643000,442672.000000,0.068466,0.000000,1.000000
8.744000,451217.000000,0.069936,0.000000,1.000000
8.845000,477906.000000,0.078838,0.000000,1.000000
8.945000,422068.000000,0.072224,0.000000,1.000000
9.045000,440238.000000,0.081940,0.000000,1.000000
9.146000,501403.000000,0.079682,0.000000,0.000000
9.246000,512124.000000,0.077198,0.000000,98.000000
9.347000,557638.000000,0.085065,0.000000,264.000000
9.447000,562225.000000,0.085888,0.000000,430.000000
9.547000,561096.000000,0.086032,0.000000,596.000000
9.647000,568325.000000,0.086369,0.000000,762.000000
9.747000,565594.000000,0.086131,0.000000,930.000000
9.848000,571487.000000,0.086278,0.000000,1099.000000
9.948000,577427.000000,0.087232,0.000000,1266.000000
10.048000,582293.000000,0.087738,0.000000,1433.000000
10.148000,561478.000000,0.085445,0.000000,1600.000000
10.248000,570777.000000,0.086628,0.000000,1766.000000
10.349000,596574.000000,0.088701,0.000000,1934.000000
10.449000,591637.000000,0.088666,0.000000,2101.000000
10.549000,588648.000000,0.088651,0.000000,2268.000000
10.650000,606151.000000,0.089947,0.000000,2434.000000
10.750000,656574.000000,0.095276,0.000000,2601.000000
10.850000,729252.000000,0.102719,0.000000,2767.000000
10.950000,673237.000000,0.096413,0.000000,2935.000000
11.050000,689039.000000,0.097464,0.000000,3102.000000
11.150000,734548.000000,0.103352,0.000000,3269.000000
11.250000,744401.000000,0.103838,0.000000,3435.000000
11.350000,760319.000000,0.105491,0.000000,3601.000000
11.450000,751478.000000,0.105071,0.000000,3767.000000
11.550000,751517.000000,0.104832,0.000000,3934.000000
11.650000,753282.000000,0.104901,0.000000,4101.000000
11.750000,726479.000000,0.102177,0.000000,4267.000000
11.851000,731502.000000,0.102467,0.000000,4433.000000
11.951000,736296.000000,0.103301,0.000000,4599.000000
12.051000,742817.000000,0.104145,0.000000,4764.000000
12.151000,730232.000000,0.103142,0.000000,4931.000000
12.252000,728305.000000,0.102336,0.000000,5097.000000
12.352000,757460.000000,0.105178,0.000000,5264.000000
12.452000,767415.000000,0.106575,0.000000,5429.000000
12.552000,789446.000000,0.108263,0.000000,5596.000000
12.652000,786059.000000,0.108584,0.000000,5762.000000
12.752000,800590.000000,0.110040,0.000000,5929.000000
12.852000,783581.000000,0.108360,0.000000,6097.000000
12.952000,789316.000000,0.108684,0.000000,6266.000000
13.052000,768878.000000,0.106474,0.000000,6433.000000
13.152000,762136.000000,0.105716,0.000000,6600.000000
13.252000,756887.000000,0.105178,0.000000,6767.000000
13.353000,758205.000000,0.105445,0.000000,6934.000000
13.453000,753905.000000,0.105391,0.000000,7102.000000
13.553000,745188.000000,0.103953,0.000000,7268.000000
13.654000,684845.000000,0.098267,0.000000,7434.000000
13.754000,632512.000000,0.091754,0.000000,7600.000000
13.854000,635921.000000,0.091995,0.000000,7767.000000
13.954000,639164.000000,0.093046,0.000000,7934.000000
14.055000,661770.000000,0.095349,0.000000,8102.000000
14.156000,666314.000000,0.096352,0.000000,8269.000000
14.256000,682559.000000,0.096445,0.000000,8436.000000
14.356000,722961.000000,0.099400,0.000000,8602.000000
14.456000,770378.000000,0.106335,0.000000,8768.000000
14.556000,793221.000000,0.108555,0.000000,8935.000000
14.656000,803824.000000,0.110513,0.000000,9102.000000
14.756000,802453.000000,0.109642,0.000000,9268.000000
14.856000,801416.000000,0.108976,0.000000,9433.000000
14.956000,779909.000000,0.105682,0.000000,9598.000000
15.057000,556499.000000,0.083918,0.000000,9764.000000
15.157000,462063.000000,0.072432,0.000000,9930.000000
15.257000,432950.000000,0.071213,0.000000,10097.000000
15.357000,449274.000000,0.072956,0.000000,10263.000000
15.457000,484445.000000,0.075299,0.000000,10429.000000
15.557000,399212.000000,0.065368,0.000000,10596.000000
15.657000,388805.000000,0.065758,0.000000,10763.000000
15.757000,372407.000000,0.064374,0.000000,10930.000000
15.857000,344030.000000,0.062501,0.000000,11098.000000
15.958000,364108.000000,0.062706,0.000000,11266.000000
16.058000,256305.000000,0.046963,0.000000,11433.000000
16.158000,57322.500000,0.035642,0.100000,11599.000000
16.258000,52944.700000,0.032549,0.400000,11766.000000
16.359000,48307.300000,0.033134,0.700000,11854.000000
16.459000,47745.900000,0.033169,0.700000,11862.000000
16.559000,40904.200000,0.032421,0.700000,11871.000000
16.659000,42696.500000,0.032547,0.700000,11879.000000
16.760000,44227.100000,0.032861,0.800000,11887.000000
16.860000,44012.600000,0.032635,0.800000,11895.000000
16.960000,46713.300000,0.033102,0.800000,11904.000000
17.060000,45984.400000,0.033041,0.800000,11912.000000
17.160000,46399.100000,0.033011,0.900000,11920.000000
17.260000,42050.200000,0.032507,0.900000,11928.000000
17.361000,40172.900000,0.032437,0.900000,11936.000000
17.461000,34693.200000,0.031832,1.000000,11944.000000
17.561000,33184.800000,0.031762,1.000000,11953.000000
17.661000,31328.800000,0.031422,1.000000,11961.000000
17.761000,29320.700000,0.031405,1.100000,11969.000000
17.861000,30138.600000,0.031392,1.100000,11978.000000
17.961000,27043.100000,0.031113,1.100000,11986.000000
18.061000,23498.000000,0.030725,1.200000,11994.000000
18.161000,21976.600000,0.030487,1.200000,12003.000000
18.261000,21726.000000,0.030419,1.200000,12011.000000
18.361000,20979.800000,0.030388,1.300000,12020.000000
18.461000,18781.400000,0.029749,1.300000,12028.000000
18.561000,20111.500000,0.030077,1.400000,12036.000000
18.661000,19358.500000,0.030118,1.400000,12045.000000
18.762000,17360.100000,0.029993,1.500000,12053.000000
18.863000,16995.900000,0.029005,1.500000,12062.000000
18.963000,15525.800000,0.029794,1.600000,12070.000000
19.063000,15064.000000,0.029738,1.600000,12078.000000
19.163000,14851.800000,0.029757,1.700000,12087.000000
19.263000,14430.200000,0.029744,1.700000,12095.000000
19.363000,13935.900000,0.029443,1.800000,12103.000000
19.464000,13846.600000,0.029362,1.800000,12111.000000
19.564000,13731.200000,0.029388,1.900000,12120.000000
19.664000,13392.700000,0.029511,1.900000,12128.000000
19.764000,13141.800000,0.029642,2.000000,12136.000000
19.864000,12710.400000,0.029620,2.100000,12144.000000
19.964000,12440.100000,0.029791,2.100000,12152.000000
20.064000,12075.100000,0.029630,2.200000,12160.000000
20.165000,11756.200000,0.029561,2.300000,12169.000000
20.265000,11444.000000,0.029671,2.300000,12177.000000
20.365000,11532.400000,0.029465,2.400000,12185.000000
20.465000,11434.000000,0.029668,2.500000,12194.000000
20.565000,11116.000000,0.029517,2.500000,12202.000000
20.666000,10864.100000,0.029633,2.600000,12210.000000
20.768000,10766.800000,0.029592,2.700000,12219.000000
20.868000,10681.200000,0.029559,2.800000,12227.000000
20.969000,10559.600000,0.029577,2.900000,12236.000000
21.069000,10276.000000,0.029569,2.900000,12244.000000
21.169000,10013.600000,0.029379,3.000000,12253.000000
21.269000,9767.020000,0.029322,3.100000,12261.000000
21.370000,9595.650000,0.029418,3.200000,12270.000000
21.470000,9451.060000,0.029455,3.300000,12278.000000
21.570000,9357.040000,0.029517,3.400000,12286.000000
21.670000,9209.700000,0.029432,3.500000,12295.000000
21.770000,9116.490000,0.029349,3.600000,12303.000000
21.870000,9130.480000,0.029499,3.700000,12311.000000
21.970000,8992.150000,0.029302,3.800000,12319.000000
22.070000,8853.130000,0.029274,3.900000,12327.000000
22.170000,8830.790000,0.029481,4.000000,12335.000000
22.270000,8645.810000,0.029540,4.100000,12344.000000
22.370000,8434.980000,0.029408,4.200000,12352.000000
22.471000,8434.300000,0.029062,4.300000,12360.000000
22.571000,8289.160000,0.029420,4.500000,12368.000000
22.671000,8222.650000,0.029559,4.600000,12377.000000
22.771000,7983.880000,0.029514,4.700000,12385.000000
22.872000,7776.770000,0.029560,4.800000,12393.000000
22.973000,7532.760000,0.029519,5.000000,12402.000000
23.073000,7489.540000,0.029576,5.100000,12410.000000
23.173000,7353.780000,0.029520,5.200000,12419.000000
23.274000,7181.930000,0.029563,5.400000,12427.000000
23.374000,7058.340000,0.029485,5.500000,12436.000000
23.474000,6922.920000,0.029533,5.700000,12444.000000
23.575000,6794.810000,0.029567,5.800000,12453.000000
23.676000,6736.850000,0.029586,6.000000,12461.000000
23.776000,6418.230000,0.029505,6.100000,12469.000000
23.876000,6211.330000,0.029527,6.300000,12478.000000
23.976000,6096.310000,0.029472,6.400000,12486.000000
24.076000,5946.350000,0.029310,6.600000,12494.000000
24.176000,5891.380000,0.029425,6.800000,12503.000000
24.277000,5699.890000,0.029533,6.900000,12511.000000
24.377000,5643.900000,0.029612,7.100000,12519.000000
24.477000,5587.260000,0.029546,7.300000,12527.000000
24.577000,5480.740000,0.029536,7.500000,12535.000000
24.678000,5404.460000,0.029548,7.600000,12543.000000
24.779000,5291.700000,0.029492,7.800000,12551.000000
24.880000,5205.710000,0.029482,8.000000,12559.000000
24.981000,5179.610000,0.029588,8.200000,12568.000000
25.082000,5124.970000,0.029443,8.400000,12576.000000
25.182000,5079.810000,0.029568,8.600000,12584.000000
25.282000,4979.070000,0.029496,8.800000,12593.000000
25.382000,4914.890000,0.029517,9.000000,12601.000000
25.483000,4861.860000,0.029521,9.200000,12610.000000
25.584000,4852.700000,0.029450,9.500000,12618.000000
25.685000,4823.190000,0.029606,9.700000,12627.000000
25.785000,4801.290000,0.029545,9.900000,12635.000000
25.886000,4760.820000,0.029623,10.100000,12643.000000
25.987000,4714.290000,0.029593,10.400000,12652.000000
26.087000,4602.480000,0.029613,10.600000,12660.000000
26.188000,4513.000000,0.029576,10.800000,12669.000000
26.289000,4466.800000,0.029664,11.100000,12677.000000
26.389000,4354.130000,0.029610,11.300000,12685.000000
26.490000,4240.170000,0.029602,11.600000,12693.000000
26.590000,4067.770000,0.029559,11.800000,12702.000000
26.690000,3983.090000,0.029586,12.100000,12710.000000
26.791000,3906.240000,0.029549,12.300000,12718.000000
26.891000,3863.510000,0.029581,12.600000,12726.000000
26.992000,3840.040000,0.029552,12.900000,12734.000000
27.093000,3744.380000,0.029516,13.100000,12743.000000
27.194000,3686.150000,0.029530,13.400000,12751.000000
27.294000,3609.550000,0.029499,13.700000,12759.000000
27.394000,3594.270000,0.029557,14.000000,12768.000000
27.494000,3556.780000,0.029510,14.200000,12776.000000
27.594000,3461.460000,0.029550,14.500000,12785.000000
27.694000,3423.530000,0.029591,14.800000,12793.000000
27.795000,3418.730000,0.029597,15.100000,12802.000000
27.895000,3360.830000,0.029565,15.400000,12810.000000
27.995000,3252.700000,0.029603,15.700000,12819.000000
28.095000,3214.050000,0.029648,16.000000,12828.000000
28.196000,3181.630000,0.029618,16.400000,12836.000000
28.296000,3148.730000,0.029701,16.700000,12845.000000
28.396000,3127.800000,0.029710,17.000000,12853.000000
28.496000,3104.410000,0.029724,17.300000,12862.000000
28.596000,3051.110000,0.029708,17.700000,12870.000000
28.696000,3017.520000,0.029701,18.000000,12879.000000
28.796000,3001.650000,0.029679,18.400000,12887.000000
28.897000,2965.860000,0.029681,18.800000,12895.000000
28.999000,2932.700000,0.029707,19.100000,12904.000000
29.100000,2918.170000,0.029726,19.500000,12912.000000
29.201000,2862.710000,0.029435,19.900000,12920.000000
29.302000,2815.480000,0.029751,20.300000,12929.000000
29.402000,2802.220000,0.029654,20.800000,12937.000000
29.502000,2814.310000,0.029648,21.200000,12945.000000
29.603000,2796.510000,0.029709,21.600000,12953.000000
29.703000,2753.670000,0.029730,22.100000,12961.000000
29.803000,2745.060000,0.029794,23.100000,12978.000000
29.903000,2662.360000,0.029651,23.600000,12986.000000
30.003000,2638.810000,0.029660,24.100000,12995.000000
30.103000,2585.840000,0.029662,24.600000,13003.000000
30.203000,2531.700000,0.029663,25.200000,13011.000000
30.303000,2531.720000,0.029695,25.800000,13020.000000
30.403000,2503.100000,0.029647,26.400000,13028.000000
30.503000,2444.360000,0.029723,27.000000,13036.000000
30.603000,2451.110000,0.029701,27.600000,13045.000000
30.703000,2424.430000,0.029683,28.200000,13053.000000
30.804000,2387.680000,0.029678,28.900000,13061.000000
30.904000,2336.810000,0.029740,29.500000,13070.000000
31.004000,2328.730000,0.029696,30.200000,13078.000000
31.104000,2301.260000,0.029713,30.900000,13086.000000
31.204000,2275.990000,0.029707,31.600000,13094.000000
31.305000,2282.410000,0.029646,32.300000,13102.000000
31.405000,2256.920000,0.029711,33.100000,13110.000000
31.505000,2226.590000,0.029702,33.900000,13118.000000
31.605000,2228.840000,0.029560,34.600000,13126.000000
31.705000,2202.320000,0.029617,35.400000,13134.000000
31.805000,2170.590000,0.029659,36.200000,13142.000000
31.905000,2168.980000,0.029658,37.000000,13150.000000
32.006000,2161.110000,0.029626,37.800000,13158.000000
32.106000,2177.860000,0.029673,38.700000,13166.000000
32.206000,2181.500000,0.029712,39.500000,13175.000000
