Software Sample Rate=10(Hz)
LCR Meter Speed=Medium(40Hz)
Force Speed=Medium(10Hz)
Primary Parameter=R
Secondary Parameter=Q
Time,Primary Parameter,Secondary Parameter,Force,Positon
50.420000,256988.000000,0.025586,0.000000,0.000000
50.520000,256517.000000,0.025350,0.000000,0.000000
50.621000,256542.000000,0.025577,0.000000,0.000000
50.721000,256539.000000,0.025385,0.000000,0.000000
50.821000,255994.000000,0.025470,0.000000,0.000000
50.921000,255949.000000,0.025420,0.000000,0.000000
51.022000,255881.000000,0.025420,0.000000,0.000000
51.123000,256064.000000,0.025462,0.000000,0.000000
51.223000,255708.000000,0.025361,0.000000,0.000000
51.323000,254285.000000,0.025310,0.000000,0.000000
51.423000,254465.000000,0.025291,0.000000,0.000000
51.524000,255900.000000,0.025533,0.000000,0.000000
51.624000,254917.000000,0.025256,0.000000,0.000000
51.724000,255270.000000,0.025356,0.000000,0.000000
51.825000,254636.000000,0.025223,0.000000,0.000000
51.925000,254519.000000,0.025299,0.000000,0.000000
52.026000,254516.000000,0.025370,0.000000,0.000000
52.126000,255405.000000,0.025325,0.000000,0.000000
52.226000,255154.000000,0.025380,0.000000,0.000000
52.326000,254450.000000,0.025240,0.000000,0.000000
52.426000,255186.000000,0.025184,0.000000,0.000000
52.526000,254894.000000,0.025251,0.000000,0.000000
52.626000,255439.000000,0.025390,0.000000,0.000000
52.726000,255386.000000,0.025389,0.000000,0.000000
52.826000,255099.000000,0.025352,0.000000,0.000000
52.926000,256165.000000,0.025416,0.000000,0.000000
53.026000,255069.000000,0.025347,0.000000,0.000000
53.126000,254638.000000,0.025328,0.000000,0.000000
53.226000,255108.000000,0.025318,0.000000,0.000000
53.326000,255171.000000,0.025337,0.000000,0.000000
53.426000,254912.000000,0.025326,0.000000,0.000000
53.526000,255306.000000,0.025413,0.000000,0.000000
53.626000,255607.000000,0.025379,0.000000,0.000000
53.726000,256163.000000,0.025424,0.000000,0.000000
53.827000,255789.000000,0.025405,0.000000,0.000000
53.927000,255678.000000,0.025416,0.000000,0.000000
54.027000,254674.000000,0.025170,0.000000,0.000000
54.127000,254833.000000,0.025334,0.000000,0.000000
54.227000,255246.000000,0.025364,0.000000,0.000000
54.327000,258249.000000,0.025357,0.000000,0.000000
54.427000,257272.000000,0.025421,0.000000,0.000000
54.527000,257602.000000,0.025545,0.000000,0.000000
54.627000,252473.000000,0.025518,0.000000,0.000000
54.727000,251976.000000,0.025872,0.000000,0.000000
54.827000,258731.000000,0.026267,0.000000,0.000000
54.927000,254766.000000,0.025817,0.000000,0.000000
55.027000,254749.000000,0.025478,0.000000,0.000000
55.127000,256784.000000,0.025715,0.000000,0.000000
55.227000,260742.000000,0.026069,0.000000,0.000000
55.327000,259829.000000,0.026232,0.000000,0.000000
55.427000,262908.000000,0.026285,0.000000,0.000000
55.528000,258112.000000,0.025907,0.000000,0.000000
55.628000,256075.000000,0.025362,0.000000,0.000000
55.728000,256256.000000,0.024984,0.000000,0.000000
55.828000,256408.000000,0.025315,0.000000,0.000000
55.928000,255064.000000,0.025032,0.000000,0.000000
56.029000,254999.000000,0.025166,0.000000,0.000000
56.129000,255063.000000,0.025175,0.000000,0.000000
56.229000,255368.000000,0.025070,0.000000,0.000000
56.329000,255011.000000,0.025182,0.000000,0.000000
56.429000,255630.000000,0.025267,0.000000,0.000000
56.529000,255723.000000,0.025183,0.000000,0.000000
56.629000,255876.000000,0.025372,0.000000,0.000000
56.729000,256247.000000,0.025182,0.000000,0.000000
56.830000,256154.000000,0.025120,0.000000,62.000000
56.930000,255650.000000,0.025102,0.000000,312.000000
57.030000,255606.000000,0.025038,0.000000,562.000000
57.130000,255712.000000,0.024991,0.000000,812.000000
57.231000,256154.000000,0.025162,0.070000,1062.000000
57.331000,258429.000000,0.025525,0.190000,1157.000000
57.432000,260693.000000,0.025087,0.240000,1197.000000
57.532000,256930.000000,0.024307,0.290000,1239.000000
57.632000,258828.000000,0.024501,0.350000,1282.000000
57.732000,243553.000000,0.022878,0.400000,1322.000000
57.832000,242279.000000,0.022250,0.450000,1367.000000
57.932000,232326.000000,0.021756,0.520000,1409.000000
58.033000,232325.000000,0.021408,0.580000,1449.000000
58.133000,226970.000000,0.020716,0.650000,1492.000000
58.233000,241495.000000,0.022487,0.720000,1532.000000
58.335000,241874.000000,0.022845,0.790000,1572.000000
58.435000,232285.000000,0.021565,0.870000,1612.000000
58.536000,225534.000000,0.020578,0.960000,1654.000000
58.636000,231626.000000,0.020563,1.050000,1694.000000
58.736000,217957.000000,0.018833,1.160000,1737.000000
58.836000,225829.000000,0.019220,1.250000,1779.000000
58.938000,220310.000000,0.018796,1.370000,1822.000000
59.038000,212823.000000,0.018198,1.480000,1864.000000
59.138000,200333.000000,0.016913,1.590000,1907.000000
59.239000,199032.000000,0.015650,1.710000,1947.000000
59.339000,199960.000000,0.015885,1.810000,1989.000000
59.440000,151388.000000,0.010700,1.950000,2029.000000
59.540000,133388.000000,0.009702,2.080000,2069.000000
59.640000,124952.000000,0.006394,2.230000,2112.000000
59.741000,78791.700000,0.004129,2.380000,2152.000000
59.841000,61828.700000,0.003231,2.540000,2194.000000
59.941000,42393.400000,0.001795,2.710000,2237.000000
60.041000,38892.300000,0.002275,2.900000,2279.000000
60.141000,33196.300000,0.001697,3.090000,2319.000000
60.242000,29014.900000,0.001248,3.250000,2362.000000
60.342000,24163.700000,0.000865,3.460000,2404.000000
60.442000,22353.700000,0.000556,3.690000,2444.000000
60.542000,21021.400000,0.000367,3.930000,2487.000000
60.643000,19831.200000,0.000536,4.170000,2527.000000
60.743000,17582.800000,0.000591,4.440000,2567.000000
60.843000,16691.700000,0.000461,4.720000,2609.000000
60.943000,15601.400000,0.000425,5.010000,2649.000000
61.043000,14447.000000,0.000338,5.310000,2692.000000
61.144000,13100.800000,0.000394,5.640000,2732.000000
61.244000,12450.500000,0.000405,5.980000,2774.000000
61.344000,12007.900000,0.000318,6.330000,2817.000000
61.444000,11207.700000,0.000238,6.710000,2857.000000
61.544000,10905.600000,0.000283,7.120000,2899.000000
61.644000,10486.500000,0.000233,7.530000,2942.000000
61.744000,10071.200000,0.000319,7.940000,2982.000000
61.844000,9417.990000,0.000290,8.400000,3024.000000
61.944000,8766.630000,0.000217,8.890000,3064.000000
62.044000,8395.160000,0.000244,9.380000,3104.000000
62.145000,8085.290000,0.000210,9.890000,3144.000000
62.245000,7820.630000,0.000233,10.390000,3187.000000
62.345000,7529.080000,0.000247,10.920000,3227.000000
62.445000,7290.790000,0.000114,11.440000,3269.000000
62.545000,7103.560000,0.000133,11.990000,3312.000000
62.646000,6765.180000,0.000074,12.540000,3357.000000
62.746000,6680.420000,0.000002,13.120000,3399.000000
62.846000,6484.660000,0.000023,13.770000,3442.000000
62.946000,6282.000000,0.000076,14.470000,3482.000000
63.046000,6182.640000,0.000079,15.180000,3522.000000
63.147000,6037.160000,0.000025,15.940000,3559.000000
63.247000,5719.920000,0.000138,16.710000,3599.000000
63.347000,5622.050000,0.000109,17.510000,3639.000000
63.447000,5390.610000,0.000081,18.380000,3679.000000
63.547000,5263.990000,0.000125,19.280000,3719.000000
63.648000,5169.830000,0.000003,20.150000,3762.000000
63.749000,5094.300000,0.000104,21.130000,3802.000000
63.850000,4962.610000,0.000171,22.110000,3842.000000
63.950000,4841.430000,0.000126,23.170000,3884.000000
64.051000,4740.170000,0.000165,24.270000,3924.000000
64.151000,4626.600000,0.000225,25.440000,3964.000000
64.251000,4509.550000,0.000188,26.630000,4004.000000
64.351000,4493.720000,0.000170,27.870000,4044.000000
64.451000,4418.540000,0.000222,29.160000,4084.000000
64.551000,4344.810000,0.000187,30.490000,4124.000000
64.651000,4295.740000,0.000161,31.880000,4164.000000
64.751000,4258.980000,0.000201,33.310000,4204.000000
64.852000,4170.380000,0.000183,34.790000,4247.000000
64.953000,4159.530000,0.000204,36.330000,4287.000000
65.053000,4053.100000,0.000203,37.890000,4329.000000
65.154000,3886.860000,0.000195,39.520000,4372.000000
65.254000,3788.530000,0.000140,41.190000,4412.000000
65.354000,3713.480000,0.000208,42.880000,4454.000000
65.454000,3636.530000,0.000212,44.660000,4494.000000
65.554000,3576.610000,0.000204,46.470000,4534.000000
65.654000,3553.940000,0.000207,48.310000,4574.000000
65.755000,3512.900000,0.000193,50.150000,4614.000000
65.855000,3494.240000,0.000193,49.470000,4614.000000
65.955000,3461.630000,0.000180,49.110000,4614.000000
66.055000,3447.340000,0.000203,48.860000,4617.000000
66.156000,3429.230000,0.000181,48.650000,4617.000000
66.256000,3427.760000,0.000208,48.480000,4617.000000
66.357000,3418.570000,0.000203,48.340000,4617.000000
66.457000,3409.380000,0.000215,48.210000,4617.000000
66.557000,3411.160000,0.000194,48.100000,4617.000000
66.657000,3403.050000,0.000169,47.980000,4617.000000
66.758000,3401.930000,0.000189,47.880000,4617.000000
66.858000,3398.780000,0.000200,47.800000,4617.000000
66.958000,4897.590000,0.000575,28.490000,4327.000000
67.058000,214142.000000,0.014166,0.710000,2792.000000
67.159000,1211430.000000,0.110021,-0.020000,319.000000
67.259000,790489.000000,0.068717,0.000000,-1647.000000
67.359000,707693.000000,0.060716,0.000000,-2304.000000
67.459000,619788.000000,0.053934,0.000000,-2307.000000
67.559000,476026.000000,0.042582,0.000000,-2307.000000
67.660000,399822.000000,0.036070,0.000000,-2307.000000
67.760000,397877.000000,0.034464,0.000000,-2307.000000
67.860000,383910.000000,0.035188,0.000000,-2307.000000
67.960000,397360.000000,0.037249,0.000000,-2307.000000
68.061000,390010.000000,0.036963,0.000000,-2307.000000
68.162000,339843.000000,0.031604,0.000000,-2307.000000
68.262000,334524.000000,0.030210,0.000000,-2307.000000
68.362000,341274.000000,0.031042,0.000000,-2307.000000
68.462000,336482.000000,0.031149,0.000000,-2307.000000
68.562000,345420.000000,0.033034,0.000000,-2307.000000
68.663000,325811.000000,0.031395,0.000000,-2307.000000
68.763000,318705.000000,0.030092,0.000000,-2307.000000
68.863000,338702.000000,0.032433,0.000000,-2307.000000
68.963000,313329.000000,0.029273,0.000000,-2307.000000
