time,compression0,compression1,compression2,compression3,accel_x,accel_y,accel_z
1753242072,308,308,308,920,0.7191162109375,0.45654296875,-0.513427734375
1753242072,308,310,308,920,0.719970703125,0.4566650390625,-0.51220703125
1753242072,308,308,308,920,0.7186279296875,0.45263671875,-0.5137939453125
1753242072,308,309,306,920,0.7169189453125,0.44970703125,-0.5169677734375
1753242072,299,296,295,922,0.71435546875,0.4512939453125,-0.5181884765625
1753242072,310,308,308,920,0.7122802734375,0.4530029296875,-0.5172119140625
1753242072,308,308,307,920,0.712646484375,0.4525146484375,-0.513427734375
1753242072,308,308,308,920,0.714599609375,0.4512939453125,-0.5072021484375
1753242072,308,310,306,920,0.7174072265625,0.4503173828125,-0.502685546875
1753242072,309,308,306,918,0.7198486328125,0.4508056640625,-0.50341796875
1753242072,308,308,308,920,0.7205810546875,0.45068359375,-0.5069580078125
1753242072,296,308,307,920,0.7205810546875,0.450439453125,-0.5098876953125
1753242072,308,308,308,918,0.720703125,0.453369140625,-0.51123046875
1753242072,309,310,308,917,0.720947265625,0.4583740234375,-0.511962890625
1753242072,308,308,306,917,0.7215576171875,0.4609375,-0.5135498046875
1753242072,310,309,307,905,0.721435546875,0.4586181640625,-0.5142822265625
1753242072,308,309,294,912,0.72021484375,0.4517822265625,-0.51123046875
1753242072,308,300,308,913,0.718994140625,0.4437255859375,-0.50634765625
1753242072,306,307,308,912,0.717529296875,0.4423828125,-0.50439453125
1753242072,308,308,306,910,0.7169189453125,0.4522705078125,-0.507568359375
1753242072,308,309,304,913,0.71728515625,0.4647216796875,-0.5142822265625
1753242072,308,309,306,912,0.718994140625,0.47119140625,-0.5198974609375
1753242072,308,308,308,912,0.7215576171875,0.4727783203125,-0.521484375
1753242072,308,308,308,913,0.7222900390625,0.4700927734375,-0.5184326171875
1753242072,308,308,308,909,0.7225341796875,0.4630126953125,-0.5164794921875
1753242072,310,310,308,905,0.72509765625,0.45458984375,-0.52197265625
1753242072,308,308,316,899,0.7266845703125,0.44921875,-0.5311279296875
1753242072,308,309,307,899,0.725830078125,0.449462890625,-0.5382080078125
