Software Sample Rate=10(Hz)
LCR Meter Speed=Medium(40Hz)
Force Speed=Medium(10Hz)
Primary Parameter=R
Secondary Parameter=Q
Time,Primary Parameter,Secondary Parameter,Force,Positon
17.953000,4922840.000000,0.927484,0.000000,4609.000000
18.054000,4908730.000000,0.925571,0.000000,5624.000000
18.154000,4899440.000000,0.923460,0.000000,5624.000000
18.255000,4932280.000000,0.927390,0.000000,5624.000000
18.355000,4945180.000000,0.930271,0.000000,5624.000000
18.455000,4912160.000000,0.924866,0.000000,5624.000000
18.555000,4932050.000000,0.930610,0.000000,5624.000000
18.655000,4948110.000000,0.929861,0.000000,5624.000000
18.755000,4918730.000000,0.925944,0.000000,5624.000000
18.855000,4886960.000000,0.919018,0.000000,5624.000000
18.956000,4899180.000000,0.919656,0.000000,5624.000000
19.057000,4940110.000000,0.926731,0.000000,5624.000000
19.157000,4962540.000000,0.936950,0.000000,5624.000000
19.257000,4903230.000000,0.923253,0.000000,5624.000000
19.358000,4898210.000000,0.923089,0.000000,5624.000000
19.458000,4923100.000000,0.927890,0.000000,5624.000000
19.559000,4941800.000000,0.930300,0.000000,5624.000000
19.659000,4944810.000000,0.930984,0.000000,5624.000000
19.759000,4915250.000000,0.924979,0.000000,5624.000000
19.859000,4945590.000000,0.931761,0.000000,5624.000000
19.959000,4939130.000000,0.928654,0.000000,5624.000000
20.059000,4930230.000000,0.928803,0.000000,5624.000000
20.159000,4941470.000000,0.930483,0.000000,5624.000000
20.259000,4928680.000000,0.929746,0.000000,5624.000000
20.359000,4971380.000000,0.938167,-0.020000,5707.000000
20.459000,4975780.000000,0.937033,0.000000,5829.000000
20.559000,4950280.000000,0.935010,-0.010000,5954.000000
20.659000,4994650.000000,0.940713,-0.010000,6082.000000
20.759000,4962690.000000,0.935065,-0.010000,6207.000000
20.860000,4960760.000000,0.934880,-0.010000,6329.000000
20.960000,4947580.000000,0.933390,-0.010000,6454.000000
21.060000,4970670.000000,0.941014,-0.010000,6579.000000
21.160000,4987710.000000,0.941221,-0.010000,6707.000000
21.260000,4958600.000000,0.936393,-0.010000,6829.000000
21.360000,4947880.000000,0.933248,-0.010000,6954.000000
21.460000,4932020.000000,0.930325,-0.010000,7079.000000
21.560000,4939080.000000,0.931724,-0.010000,7207.000000
21.660000,4953110.000000,0.934239,-0.010000,7329.000000
21.760000,4942590.000000,0.932001,0.010000,7452.000000
